Name,Primary Occupation,Race,Sex,Birth Date,Death Date,Wikipedia Link,wikipedia_url,Does_Sam_Think_is_real,original_designation,dob,county,status,match_confidence,validated,validation_notes,summary,education,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Whiting Field,,,,,,https://ceb.wikipedia.org/wiki/Whiting_Field,https://en.wikipedia.org/wiki/Kenneth_Whiting,no,Whiting Field Boulevard,1881-11-27,Santa Rosa,Found,51.0,True,seq=10.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Kenneth Whiting was a pioneering United States Navy officer born on November 27, 1881, who played a crucial role in early submarine and naval aviation development. He became one of the first submarine commanders in the U.S. Navy and later transitioned to aviation, earning the title 'Father of the Aircraft Carrier' for his advocacy and leadership. Whiting commanded the USS Langley (CV-1), the Navy's first aircraft carrier, and significantly influenced interwar naval aviation strategy. He passed away on April 24, 1943, leaving a lasting legacy in modern naval warfare tactics and technology.","['United States Naval Academy, Class of 1905']",1943-04-24,"Plymouth, Massachusetts, United States","Norfolk, Virginia, United States",male,no,no,yes,no
Angus Morrison,lawyer,,male,1822-01-20,1882-06-10,https://en.wikipedia.org/wiki/Angus_Morrison_(politician),https://en.wikipedia.org/wiki/Angus_Morrison_%28canoeist%29,no,Angus Morrison Memorial Highway,,Wakulla,Found,47.0,True,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Angus Morrison was a Scottish canoeist known for his contributions to the sport during the early to mid-20th century. He competed in slalom canoeing and was recognized for his skill in navigating challenging river courses. Morrison played a key role in popularizing canoeing in Scotland and the broader UK, though specific details about his competitive career are limited. His legacy endures primarily through historical records of early canoeing pioneers.",,,not found,not found,male,yes,no,no,no
Arthur L. Andrews,military personnel,,male,1934-03-09,1996-10-26,https://en.wikipedia.org/wiki/Arthur_L._Andrews,Not Found,no,Arthur L. Andrews Bridge,,Wakulla,Not Found,22.3,False,seq=13.3; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,
Gretchen Evans,environmentalist,,female,1924-06-26,2005-09-29,,https://en.wikipedia.org/wiki/Monique_Evans_%28Miss_Texas%29,no,Gretchen Evans Memorial Bridge,,Wakulla,Found,61.4,True,seq=10.4; human:+40; fl:+10; county-miss:-8; us:+5,"Monique Evans is an American beauty pageant titleholder best known for winning Miss Texas USA 2007. She represented Texas in the Miss USA 2007 pageant, where she placed in the top 10. Born in the late 20th century, she gained recognition for her advocacy work and public appearances during her reign. Evans remains a notable figure in Texas pageant history for her contributions to the competition and community service efforts.",,,not found,not found,female,no,no,no,no
David J. Cook,,,male,,,https://en.wikipedia.org/wiki/David_J._Cook_(administrator),https://en.wikipedia.org/wiki/Dalvin_Cook,no,David J. Cook Memorial Highway,1995-08-10,Washington,Found,66.0,True,seq=15.0; human:+40; fl:+10; county-miss:-8; us:+5,"Dalvin Cook is an American professional football player born on August 10, 1995, in Miami, Florida. He gained prominence as a standout running back during his college career at Florida State University, where he set multiple records. Drafted by the Minnesota Vikings in the 2017 NFL Draft, Cook became known for his explosive playing style and multiple Pro Bowl selections. His career highlights include leading the Vikings in rushing yards and earning recognition as one of the NFL's top running backs during his tenure.","['Miami Central High School, High School Diploma', 'Florida State University']",,"Miami, Florida, United States",not found,male,yes,no,no,no
John Creel,advocate,,male,1882-02-14,1949-06-29,,Not Found,no,John Creel Bridge,,Washington,Not Found,17.6,False,seq=11.6; fl:+10; county-miss:-8,,,,,,,,,,
Dave Turner,political candidate,,male,,,,https://en.wikipedia.org/wiki/Delon_Turner,no,Dave Turner Bridge,,Broward,Found,26.7,True,seq=15.7; fl:+10; county-miss:-8; us:+5,"Delon Turner is a former professional basketball player known for his collegiate and international career. Born in the United States, he played college basketball before transitioning to professional leagues overseas. Turner later pursued a post-playing career, though specific details about his birth date or death remain publicly unavailable. His contributions to basketball highlight his athletic achievements and influence in the sport.","['University of Wisconsin–Milwaukee', ""Bachelor's Degree (assumed, not explicitly stated)""]",,not found,not found,male,yes,no,no,no
Pembroke Park,,,,,,"https://en.wikipedia.org/wiki/Pembroke_Park,_Florida",https://en.wikipedia.org/wiki/Barbara_Sharief,no,Pembroke Park Boulevard,1973-01-01,Broward,Found,63.0,True,seq=4.3; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5,"Barbara Sharief is an American politician and healthcare professional born in 1973. She served as a Broward County Commissioner from 2010 to 2020, becoming the first Black woman to hold that position. Sharief is also known for her work as a registered nurse and entrepreneur in the healthcare sector. Her political career has focused on community development, public health, and economic growth in South Florida.","['Nova Southeastern University, Master of Business Administration (MBA)', 'Broward College, Associate of Science in Nursing (ASN)', 'Florida Atlantic University, Bachelor of Science in Nursing (BSN)']",,"Miami, Florida, United States",not found,female,no,yes,no,no
The Barefoot Mailman,,,,,,https://en.wikipedia.org/wiki/The_Barefoot_Mailman,https://en.wikipedia.org/wiki/Harvey_Eugene_Oyer_III,no,The Barefoot Mailman Memorial Bridge,1953-01-01,Broward,Found,47.0,True,seq=5.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Harvey Eugene Oyer III is an American attorney and author known for his work in Florida's legal and historical communities. Born in 1953, he has practiced law for decades while also contributing to local history preservation. Oyer authored The Last Egret, a historical novel set in early 20th-century Florida, reflecting his passion for the region's heritage. His career blends legal expertise with advocacy for environmental and cultural conservation.","['University of Florida, Fredric G. Levin College of Law, Juris Doctor', 'Florida State University, Bachelor of Arts']",,not found,not found,male,no,no,no,no
West Park,,,,,,"https://en.wikipedia.org/wiki/West_Park,_Florida",https://en.wikipedia.org/wiki/West_Park%2C_Florida,no,West Park Boulevard,,Broward,Found,38.3,True,seq=13.3; last-mismatch:-4; fl:+10; county:+8; us:+5,"The provided content describes West Park, a city in Florida, rather than a biographical subject. It covers topics like history, geography, media, and demographics but does not pertain to an individual's life, achievements, or personal details. No birth/death dates, professions, or notable accomplishments of a person are mentioned. The content is purely informational about a municipal location, not a biography.",,,not found,not found,not found,no,no,no,no
Alma Lee Loy,,,,,,"https://en.wikipedia.org/wiki/17th_Street_Bridge_(Vero_Beach,_Florida)",https://en.wikipedia.org/wiki/Helen_Aguirre_Ferr%C3%A9,no,Alma Lee Loy Bridge,,Indian River,Found,47.0,True,seq=5.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Helen Aguirre Ferré is a political strategist and communications expert known for her work in Republican politics. She gained prominence for her early criticism of Donald Trump during his 2016 presidential campaign while serving as the Republican National Committee's (RNC) Director of Hispanic Communications. Later, she joined the Trump administration as the White House Director of Media Affairs from 2017 to 2019. Her career reflects a significant role in shaping political messaging and outreach within the GOP, particularly among Hispanic communities.",,,not found,not found,female,no,yes,no,no
James H. Pruitt,politician,,male,1917-12-16,2002-07-19,https://en.wikipedia.org/wiki/James_H._Pruitt,Not Found,no,James H. Pruitt Memorial Bridge,,Indian River,Not Found,19.8,False,seq=13.8; fl:+10; county-miss:-8,,,,,,,,,,
Palm City,,,,,,"https://en.wikipedia.org/wiki/Palm_Springs,_California",https://en.wikipedia.org/wiki/Percy_Wood,no,Palm City Bridge,1872-01-01,Martin,Found,42.0,True,seq=4.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8,"Percy Wood was a British sports administrator best known for his leadership in football governance. Born in 1872, he served as the president of The Football Association (FA) from 1937 to 1939, overseeing key developments in English football. Wood was also a prominent figure in the legal profession, working as a solicitor alongside his sports administration roles. He passed away in 1945, leaving a legacy in both football and legal circles.",,1945-01-01,not found,not found,male,yes,no,no,no
Stan Mayfield,politician,,male,1955-11-12,2008-09-30,https://en.wikipedia.org/wiki/Stan_Mayfield,https://en.wikipedia.org/wiki/Debbie_Mayfield,no,Stan Mayfield Memorial Highway,1956-01-01,Multiple Counties,Found,63.9,True,seq=12.9; human:+40; fl:+10; county-miss:-8; us:+5,"Debbie Mayfield is an American politician currently serving in the Florida Senate. Born in 1956, she represents District 17, which includes parts of Brevard and Indian River counties. A Republican, Mayfield has been involved in Florida politics since 2008, previously serving in the Florida House of Representatives from 2008 to 2016. She is known for her advocacy on education, healthcare, and environmental issues in the state legislature.","['Brevard Community College, Associate of Arts', 'University of Central Florida, Bachelor of Science in Education']",,"Vero Beach, Florida, United States",not found,female,no,yes,no,no
Thomas E. Will,educator,,male,1861-11-11,1937-03-05,https://en.wikisource.org/wiki/Author:Thomas_Elmer_Will,Not Found,no,Thomas E. Will Memorial Highway,,Multiple Counties,Not Found,18.3,False,seq=9.3; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,
Jerry Thomas,politician,,male,1953-05-23,,https://ar.wikipedia.org/wiki/%D8%AC%D9%8A%D8%B1%D9%8A_%D8%AA%D9%88%D9%85%D8%A7%D8%B3,https://en.wikipedia.org/wiki/Jerry_Thomas_%28Florida_politician%29,no,Jerry Thomas Memorial Bridge,,Palm Beach,Found,27.0,True,seq=20.0; fl:+10; county-miss:-8; us:+5,"Jerry Thomas was a Florida-based politician known for his contributions to local governance. Details about his birth and death dates are not widely documented in available sources. He served in political roles within Florida, though specific positions or notable legislative achievements remain unclear. Thomas's historical significance is primarily tied to his involvement in Florida's political landscape during his active years.",,,not found,not found,male,no,yes,no,no
North Ocean,,,,,,https://commons.wikimedia.org/wiki/Category:IMO_7530016,Not Found,no,North Ocean Boulevard,,Palm Beach,Not Found,18.0,False,seq=4.0; last-mismatch:-4; fl:+10; county:+8,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,https://en.wikipedia.org/wiki/Frank_S._Reasoner,no,Purple Heart Memorial Highway,1937-09-16,Okaloosa,Found,47.9,True,seq=6.9; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Frank Stanley Reasoner was born on September 16, 1937, in Spokane, Washington, and became a distinguished officer in the United States Marine Corps. He was posthumously awarded the Medal of Honor for his heroic actions during the Vietnam War, where he sacrificed his life in combat on July 12, 1965. Reasoner was the first Marine to receive the Medal of Honor for actions in Vietnam, cementing his legacy as a symbol of bravery and dedication. His military career and ultimate sacrifice remain a significant part of U.S. Marine Corps history and the broader narrative of the Vietnam War.","['Gonzaga University, Bachelor of Science in Commerce, 1959']",1965-07-12,"Spokane, Washington, United States",Vietnam,male,no,no,yes,no
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Brevard,Not Found,18.5,False,seq=6.5; last-mismatch:-4; fl:+10; county:+8,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Highlands,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Palm Beach,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Pasco,Not Found,7.0,False,seq=17.1; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Robert A. Harris,university teacher,,male,,,,Not Found,no,Robert A. Harris Bridge,,Palm Beach,Not Found,22.2,False,seq=11.2; fl:+10; county-miss:-8; us:+5,,,,,,,,,,
Hubert Humphrey,politician,Norwegian Americans,male,1911-05-27,1978-01-13,https://en.wikipedia.org/wiki/Hubert_Humphrey,https://en.wikipedia.org/wiki/Hubert_Humphrey_%28businessman%29,no,Hubert Humphrey Bridge,1821-01-01,Brevard,Found,47.0,True,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Hubert Humphrey (1821–1866) was an American businessman and politician from Minnesota. He is best known for his role in the early development of the state, particularly in the lumber industry. Humphrey served as a member of the Minnesota Territorial Legislature and was influential in shaping local infrastructure. His legacy is tied to the growth of the region during the mid-19th century.",,1866-01-01,not found,not found,male,no,yes,no,no
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,https://en.wikipedia.org/wiki/Frank_S._Reasoner,no,Purple Heart Memorial Highway,1937-09-16,Okaloosa,Found,47.9,True,seq=6.9; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Frank Stanley Reasoner was born on September 16, 1937, in Spokane, Washington, and became a distinguished officer in the United States Marine Corps. He was posthumously awarded the Medal of Honor for his heroic actions during the Vietnam War, where he sacrificed his life in combat on July 12, 1965. Reasoner was the first Marine to receive the Medal of Honor for actions in Vietnam, cementing his legacy as a symbol of bravery and dedication. His military career and ultimate sacrifice remain a significant part of U.S. Marine Corps history and the broader narrative of the Vietnam War.","['Gonzaga University, Bachelor of Science in Commerce, 1959']",1965-07-12,"Spokane, Washington, United States",Vietnam,male,no,no,yes,no
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Brevard,Not Found,18.5,False,seq=6.5; last-mismatch:-4; fl:+10; county:+8,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Highlands,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Palm Beach,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Pasco,Not Found,7.0,False,seq=17.1; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Bernard Castro,inventor,,male,1904-08-11,1991-08-24,https://en.wikipedia.org/wiki/Bernard_Castro,Not Found,no,Bernard Castro Memorial Highway,,Marion,Not Found,4.9,False,seq=8.9; last-mismatch:-4; fl:+10; county-miss:-8,,,,,,,,,,
Nathan Mayo,politician,,male,1876-12-01,1960-04-14,https://en.wikipedia.org/wiki/Nathan_Mayo,https://en.wikipedia.org/wiki/Doyle_Conner,no,Nathan Mayo Highway,1928-09-17,Marion,Found,47.0,True,seq=3.5; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Doyle Conner was an American politician born on September 17, 1928, in Lake City, Florida. She served as Florida's Commissioner of Agriculture from 1961 to 1991, becoming the first woman elected to statewide office in Florida. Known for her advocacy of agriculture and environmental conservation, she played a key role in modernizing Florida's agricultural policies. Conner passed away on March 16, 2022, leaving a legacy as a pioneering female leader in Florida politics.","['University of Florida, Bachelor of Science in Agriculture', 'University of Florida, Master of Science in Agricultural Education']",2022-03-16,"Lake City, Florida, United States","Tallahassee, Florida, United States",female,no,yes,no,no
Rainbow Springs,,,,,,"https://en.wikipedia.org/wiki/Rainbow_Springs,_Florida",https://en.wikipedia.org/wiki/Kitty_Swan,no,Rainbow Springs Boulevard,,Marion,Found,42.4,True,seq=6.4; last-mismatch:-4; human:+40; fl:+10; county-miss:-8,"Kitty Swan was a British actress active during the silent film era. Born in the late 19th century, she appeared in numerous films between the 1910s and 1920s, contributing to early cinema. Though details about her personal life remain sparse, her work included collaborations with notable studios of the time. Swan’s career reflects the evolving landscape of early 20th-century entertainment, though her later years and death date are undocumented.",,,not found,not found,female,no,no,no,no
Wallace E. Sturgis,politician,,male,1898-01-01,1966-01-01,https://en.wikipedia.org/wiki/Wallace_E._Sturgis,https://en.wikipedia.org/wiki/Dan_Mullen,no,Wallace E. Sturgis Memorial Highway,1972-04-27,Marion,Found,47.0,True,seq=5.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Dan Mullen is an American football coach born April 27, 1972, known for his successful career in collegiate coaching. He served as head coach for Mississippi State University (2009–2017) and the University of Florida (2018–2021), achieving multiple bowl game victories and SEC accolades. Mullen began his coaching journey as an assistant at various programs, including Utah and Florida under Urban Meyer, where he helped develop Heisman-winning quarterback Tim Tebow. His innovative offensive strategies and player development have cemented his reputation as one of modern college football's influential coaches.","['Trinity High School (PA)', ""Ursinus College, Bachelor's Degree (1994)""]",,"Manchester, New Hampshire, USA",not found,male,yes,no,no,no
Willard Ayres,botanist,,male,1871-01-14,1961-00-00,,https://en.wikipedia.org/wiki/Ellis_Spear,no,Willard Ayres Bridge,1834-03-08,Marion,Found,47.7,True,seq=6.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Ellis Spear was born on March 8, 1834, in Warren, Maine, and died on November 17, 1917. He was a Union Army officer during the American Civil War, notably serving as a colonel in the 20th Maine Volunteer Infantry Regiment and playing a key role in the Battle of Gettysburg. After the war, he pursued a career in law and later became involved in politics, serving as a state legislator in Maine. Spear is also remembered for his writings and contributions to historical accounts of the Civil War, including his memoir and participation in early war films.","['Bowdoin College, BA, 1858', 'Harvard Law School']",1917-11-17,"Warren, Maine, United States","Brunswick, Maine, United States",male,no,yes,yes,no
Francis L. Dade,military officer,,male,1793-01-01,1835-01-01,https://en.wikipedia.org/wiki/Francis_L._Dade,https://en.wikipedia.org/wiki/Anita_Bryant,no,Francis L. Dade Memorial Highway,1940-03-25,Multiple Counties,Found,48.4,True,seq=7.4; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Anita Bryant was an American singer, beauty pageant winner, and conservative activist born on March 25, 1940. She rose to fame in the 1950s and 1960s as a pop singer and commercial spokesperson, notably for the Florida Citrus Commission. Bryant became a polarizing figure in the 1970s for her anti-gay rights campaign, 'Save Our Children,' which sought to overturn LGBTQ+ protections. Though her entertainment career declined afterward, she remained a prominent figure in religious and political activism until her death on June 11, 2024.","['Miami Senior High School', 'Oklahoma Baptist University (attended, no degree)']",2024-06-11,"Barnsdall, Oklahoma, United States","Oklahoma City, Oklahoma, United States",female,no,yes,no,yes
Irlo Bronson,politician,,male,1936-06-04,2017-11-20,https://en.wikipedia.org/wiki/Irlo_Bronson_Jr.,https://en.wikipedia.org/wiki/Irlo_Bronson_Sr.,yes,Irlo Bronson Memorial Highway,1903-03-10,Multiple Counties,Found,66.1,True,seq=17.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Irlo Bronson Sr. was an American businessman and politician born on March 10, 1903. He is best known for founding the Bronson Motor Company and serving as a prominent figure in Kissimmee, Florida’s development during the mid-20th century. Bronson also held political office, including roles as a city commissioner and mayor of Kissimmee. He passed away on December 12, 1985, leaving a legacy in both local business and civic leadership.",,1985-12-12,not found,"Kissimmee, Florida, United States",male,no,yes,no,no
Kennedy Space Center,,,,,,https://en.wikipedia.org/wiki/Kennedy_Space_Center,https://en.wikipedia.org/wiki/John_F._Kennedy,yes,Kennedy Space Center Highway,1917-05-29,Multiple Counties,Found,49.0,True,seq=8.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"John F. Kennedy was born on May 29, 1917, in Brookline, Massachusetts, and became the 35th President of the United States, serving from 1961 until his assassination in 1963. A member of the Democratic Party, he is best known for his leadership during the Cuban Missile Crisis, the establishment of the Peace Corps, and his vision for space exploration, including the Apollo moon landing program. Before his presidency, Kennedy served in the U.S. Navy during World War II, earning accolades for his heroism after his PT boat was sunk, and later represented Massachusetts in both the U.S. House of Representatives and the Senate. His presidency, often referred to as 'Camelot,' was marked by charisma and progressive ideals but tragically cut short by his assassination on November 22, 1963, in Dallas, Texas.","['Harvard College, Bachelor of Arts in Government (1940)', 'The Choate School (now Choate Rosemary Hall)', 'Princeton University (briefly attended, 1935)', 'Stanford Graduate School of Business (briefly attended, 1941)']",1963-11-22,"Brookline, Massachusetts, United States","Dallas, Texas, United States",male,yes,yes,yes,no
Rosa Parks,,,,,,https://commons.wikimedia.org/wiki/Category:Rosa_Parks_(tramway_d%27%C3%8Ele-de-France),Not Found,no,Rosa Parks Memorial Highway,,Multiple Counties,Not Found,15.1,False,seq=11.1; last-mismatch:-4; fl:+10; county-miss:-8,,,,,,,,,,
Sanlando Springs,,,,,,"https://en.wikipedia.org/wiki/Sanlando_Springs,_Florida",Not Found,no,Sanlando Springs Drive,,Multiple Counties,Not Found,24.6,False,seq=15.6; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,
Clyde Hart,pianist,,male,1910-02-24,1945-03-19,https://en.wikipedia.org/wiki/Clyde_Hart_(pianist),Not Found,no,Clyde Hart Highway,,Volusia,Not Found,18.2,False,seq=6.2; last-mismatch:-4; fl:+10; county:+8,,,,,,,,,,
International Speedway,,,,,,https://it.wikipedia.org/wiki/International_Speedway,https://en.wikipedia.org/wiki/Mike_Chitwood,no,International Speedway Boulevard,1953-01-01,Volusia,Found,58.0,True,seq=4.6; last-mismatch:-4; human:+40; fl:+10; county:+8,"Mike Chitwood is an American law enforcement officer known for his long career in policing and public service. Born in 1953, he gained prominence as the Chief of the Daytona Beach Police Department before becoming the Sheriff of Volusia County, Florida. His tenure has been marked by both reform efforts and controversies, including high-profile clashes with local officials and media. Chitwood remains a notable figure in Florida’s law enforcement community due to his outspoken leadership style and focus on community policing.",,,not found,not found,male,no,yes,no,no
Alexandre Petion,politician,,male,1770-04-02,1818-03-29,https://en.wikipedia.org/wiki/Alexandre_P%C3%A9tion,https://en.wikipedia.org/wiki/John_Ashley_%28bandit%29,no,Alexandre Petion Boulevard,1895-01-01,Miami‐Dade,Found,47.0,True,seq=4.4; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"John Ashley was an American outlaw and bank robber born in 1895, best known for leading the infamous Ashley Gang during the early 20th century. Active primarily in Florida, the gang gained notoriety for a series of bank heists, jailbreaks, and violent confrontations with law enforcement. Ashley's criminal career began with the murder of a man named Desoto Tiger in 1911, escalating into a decade-long spree of robberies and evasion of authorities. He was killed in a shootout with police in 1924 near Sebastian, Florida, cementing his legacy as one of the era's most elusive bandits.",,1924-11-01,not found,"Sebastian, Florida, United States",male,no,no,no,no
American Bankers,,,,,,https://en.wikipedia.org/wiki/American_Bankers_Association,Not Found,no,American Bankers Drive,,Miami‐Dade,Not Found,9.0,False,seq=8.0; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,
Arthur Mays,,,male,1912-01-01,1992-01-01,,Not Found,no,Arthur Mays Boulevard,,Miami‐Dade,Not Found,21.3,False,seq=12.3; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,
Benjamin Leon,,,male,1654-09-05,1724-12-21,,Not Found,no,Benjamin Leon Way,,Miami‐Dade,Not Found,22.8,False,seq=13.8; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,
Billy Kemp,musician,,male,,,,Not Found,no,Billy Kemp Boulevard,,Miami‐Dade,Not Found,8.3,False,seq=7.3; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,
Biscayne Park,,,,,,"https://en.wikipedia.org/wiki/Biscayne_Park,_Florida",https://en.wikipedia.org/wiki/Biscayne_National_Park,no,Biscayne Park Way,,Miami‐Dade,Found,27.0,True,seq=14.9; fl:+10; county-miss:-8; us:+5,"Biscayne National Park is a U.S. national park located in southern Florida, primarily underwater, protecting a diverse marine ecosystem including coral reefs, mangrove forests, and the northernmost Florida Keys. Established as Biscayne National Monument in 1968, it was redesignated as a national park in 1980 to preserve its unique aquatic habitats and cultural heritage. The park spans approximately 172,971 acres, with 95% of its area covered by water, making it a haven for boating, snorkeling, and wildlife observation. It holds historical significance as home to shipwrecks, indigenous settlements, and early 20th-century structures like the Boca Chita Lighthouse.",,,not found,not found,not found,no,no,no,no
Charles Summer,,,male,1911-00-00,,,Not Found,no,Charles Summer Boulevard,,Miami‐Dade,Not Found,7.0,False,seq=3.5; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,
Cutler Bay,,,,,,"https://en.wikipedia.org/wiki/Cutler_Bay,_Florida",https://en.wikipedia.org/wiki/Jeanne_Bellamy,no,Cutler Bay Boulevard,,Miami‐Dade,Found,49.3,True,seq=8.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Jeanne Bellamy was a notable figure whose biographical details are not fully provided in the available content. No specific birth or death dates, profession, or notable achievements are mentioned in the extracted information. The lack of detailed data makes it impossible to summarize her historical significance or contributions. Further research would be required to accurately capture her life and work.",,,not found,not found,not found,no,no,no,no
Emilio Ochoa,politician,,male,1907-07-04,2007-06-21,https://en.wikipedia.org/wiki/Emilio_Ochoa,https://en.wikipedia.org/wiki/Carlos_Lehder,no,Emilio Ochoa Boulevard,1949-09-07,Miami‐Dade,Found,47.0,True,seq=3.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Carlos Lehder was born on September 7, 1949, in Armenia, Colombia, and became one of the most notorious drug traffickers in history. As a co-founder of the Medellín Cartel, he played a pivotal role in establishing cocaine smuggling routes into the United States during the 1970s and 1980s. Lehder was known for his extravagant lifestyle and bold criminal operations, including the use of private islands and aircraft for drug trafficking. He was eventually captured in 1987, extradited to the U.S., and sentenced to life imprisonment, though his sentence was later reduced for cooperation with authorities.",,,"Armenia, Quindío, Colombia",not found,male,no,no,no,no
