name,original_designation,county,wikipedia_url,status,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Bud Day,Colonel Bud Day Boulevard,Okaloosa,https://en.wikipedia.org/wiki/Bud_Day,Found,"George Everette 'Bud' Day was born on February 24, 1925, and died on July 27, 2013. He was a highly decorated United States Air Force officer, fighter pilot, and Vietnam War prisoner of war (POW), earning the Medal of Honor for his bravery during captivity. Day also became a prominent figure in military aviation, retiring as a colonel before later being posthumously advanced to brigadier general. His legacy includes both military heroism and later political activism, though his career was not without controversy.","['University of South Dakota, Bachelor of Science (1949)', 'University of South Dakota School of Law, Juris Doctor (1952)']",1925-02-24,2013-07-27,"Sioux City, Iowa, United States","Shalimar, Florida, United States",male,yes,yes,yes,no
Danny Wuerffel,Danny Wuerffel Way,Okaloosa,https://en.wikipedia.org/wiki/Danny_Wuerffel,Found,"Danny Wuerffel was born on May 27, 1974, and is a former American football quarterback best known for his collegiate career at the University of Florida. He won the Heisman Trophy in 1996 and led the Florida Gators to their first national championship in the same year under coach Steve Spurrier. Wuerffel played professionally in the NFL and later became a coach and philanthropist, founding the Desire Street Ministries to support underprivileged communities. His legacy endures as one of the most decorated quarterbacks in college football history, celebrated for both his athletic prowess and humanitarian work.","['Fort Walton Beach High School, Florida', ""University of Florida, Bachelor's Degree in Public Relations (1997)""]",1974-05-27,,"Pensacola, Florida, United States",not found,male,yes,no,no,no
Skip York,Deputies Skip York and Burt Lopez Memorial Highway,Okaloosa,https://en.wikipedia.org/wiki/Skip,Found,"The provided content does not contain biographical information about a specific individual named Skip. Instead, it references a Wikipedia disambiguation page listing various uses of the term (acronyms, businesses, characters, people, storms, etc.). No birth/death dates, professions, or notable achievements for a person are included. Without specific details, a biographical summary cannot be generated.",,,,not found,not found,not found,no,no,no,no
Burt Lopez,Deputies Skip York and Burt Lopez Memorial Highway,Okaloosa,https://en.wikipedia.org/wiki/Burt_Bacharach,Found,"Burt Bacharach was an American composer, songwriter, and pianist born on May 12, 1928, in Kansas City, Missouri. He became one of the most influential figures in 20th-century popular music, known for his sophisticated melodies and collaborations with lyricist Hal David. Bacharach composed numerous iconic hits, including 'Raindrops Keep Fallin' on My Head,' 'The Look of Love,' and 'What the World Needs Now Is Love,' earning six Grammy Awards and three Academy Awards. He passed away on February 8, 2023, leaving behind a legacy as a defining force in pop and easy-listening music.","['McGill University (Music)', 'Mannes School of Music (Music)', 'The New School (Music)']",1928-05-12,2023-02-08,"Kansas City, Missouri, United States","Los Angeles, California, United States",male,no,no,yes,yes
James W. Lee,James W. Lee Boulevard,Okaloosa,https://en.wikipedia.org/wiki/James_W._Forsyth,Found,"James W. Forsyth (1835–1906) was a career United States Army officer best known for his controversial role in the Wounded Knee Massacre of 1890, where hundreds of Lakota Sioux were killed. Born in Ohio, he served in the Union Army during the American Civil War, earning promotions for his leadership in key battles like Gettysburg. After the war, he continued his military career, participating in the American Indian Wars and rising to the rank of Major General. His legacy remains divisive due to his involvement in one of the most infamous incidents in U.S. military history against Native Americans.",,1835,1906-10-24,"Maumee, Ohio, United States","Columbus, Ohio, United States",male,no,no,yes,no
Jim Franklin,Jim Franklin Highway,Okaloosa,https://en.wikipedia.org/wiki/Jim_Franklin,Found,"James Franklin (1697–1735) was an American colonial printer, journalist, and newspaper publisher. Born in Boston, Massachusetts, he was the older brother of Benjamin Franklin and played a key role in early American journalism. Franklin founded the New-England Courant, the first independent newspaper in the American colonies, in 1721. His work laid the groundwork for freedom of the press in America, though his career was cut short by his early death at age 38.",,1697-02-04,1735-02-04,"Boston, Massachusetts, British America","Newport, Rhode Island, British America",male,no,yes,no,no
Lewis E. Turner,Lewis E. Turner Boulevard,Okaloosa,Not Found,Not Found,,,,,,,,,,,
Roger J. Clary,Roger J. Clary Highway,Okaloosa,Not Found,Not Found,,,,,,,,,,,
William Nathey,William Nathey Bridge,Okaloosa,Not Found,Not Found,,,,,,,,,,,
William T. Marler,William T. Marler Bridge,Okaloosa,Not Found,Not Found,,,,,,,,,,,
Army Sergeant Daniel L. McCall,Army Sergeant Daniel L. McCall Memorial Highway,Santa Rosa,Not Found,Not Found,,,,,,,,,,,
Whiting Field,Whiting Field Boulevard,Santa Rosa,https://en.wikipedia.org/wiki/Whiting_Field,Found,"The provided content describes Naval Air Station Whiting Field, a military installation, rather than a biographical subject. No personal details such as birth, death, profession, or achievements of an individual are present in the text. The focus is on the air station's operations, squadrons, and history, not a person. Therefore, no biographical summary can be generated from this content.",,,,not found,not found,not found,no,no,no,no
Williard Norris,Williard Norris Highway,Santa Rosa,Not Found,Not Found,,,,,,,,,,,
Angus Morrison,Angus Morrison Memorial Highway,Wakulla,https://en.wikipedia.org/wiki/Angus_Morrison,Found,"Angus Morrison was a Scottish footballer who played as a forward in the late 19th and early 20th centuries. Born in 1873, he is best known for his time with Celtic FC, where he contributed to the team's early successes. Morrison also represented the Scotland national team during his career, earning recognition for his skill and goal-scoring ability. His legacy endures as part of the pioneering generation of Scottish footballers who shaped the sport's development.",,1873,,"Glasgow, Scotland, United Kingdom",not found,male,yes,no,no,no
Arthur L. Andrews,Arthur L. Andrews Bridge,Wakulla,https://en.wikipedia.org/wiki/Arthur_L._Andrews,Found,"Arthur L. Andrews was a United States Army officer known for his distinguished military career. Born in the early 20th century, he served during significant military engagements, earning recognition for his leadership and service. Andrews received multiple awards and decorations for his contributions, reflecting his dedication to the armed forces. His legacy remains tied to his military achievements and commitment to duty.",,,,not found,not found,male,no,no,yes,no
Gretchen Evans,Gretchen Evans Memorial Bridge,Wakulla,https://en.wikipedia.org/wiki/Gretchen_Mol,Found,"Gretchen Mol is an American actress born on November 8, 1972, known for her work in film, television, and theater. She gained prominence in the late 1990s with roles in films like Rounders (1998) and The Thirteenth Floor (1999), showcasing her versatility in both indie and mainstream cinema. Mol also earned acclaim for her stage performances, including a Tony-nominated role in the 2011 Broadway revival of The House of Blue Leaves. Beyond acting, she has become a recognizable figure in pop culture, balancing a career across multiple entertainment mediums while maintaining a relatively private personal life.","['American Musical and Dramatic Academy (AMDA)', 'William Esper Studio']",1972-11-08,,"Deep River, Connecticut, United States",not found,female,no,no,no,no
Clyde B. Wells,Clyde B. Wells Bridge,Walton,https://en.wikipedia.org/wiki/Clyde_Wells_%28politician%29,Found,"Clyde Wells was a Canadian politician born on March 28, 1937, in Bonavista Bay, Newfoundland. He served as the sixth Premier of Newfoundland from 1989 to 1996, leading the Liberal Party during a pivotal period in the province's history. Wells was a lawyer by profession, earning degrees from Memorial University and Dalhousie Law School before entering politics. Known for his opposition to the Meech Lake Accord, he played a significant role in shaping Canadian constitutional debates and provincial governance until his death on May 27, 2024.","['Memorial University, Bachelor of Commerce (1959)', 'Memorial University, Bachelor of Arts (1961)', 'Dalhousie Law School, Bachelor of Laws (1964)']",1937-03-28,2024-05-27,"Bonavista Bay, Newfoundland, Canada","St. John's, Newfoundland and Labrador, Canada",male,no,yes,no,no
Olan Rex Ferguson,Olan Rex Ferguson Bridge,Walton,Not Found,Not Found,,,,,,,,,,,
The Beach,The Beach Highway,Walton,https://en.wikipedia.org/wiki/The_Beach,Found,"The provided content does not contain biographical information about an individual but instead appears to be a Wikipedia navigation menu and partial table of contents for the page titled 'The Beach.' No details about a person's birth, death, profession, or achievements are included in the provided text. The content primarily lists administrative links, search options, and section headers related to geography and arts. Without relevant biographical data, no meaningful summary can be generated for a person.",,,,not found,not found,not found,no,no,no,no
Ben G. Watts,Ben G. Watts Highway,Washington,Not Found,Not Found,,,,,,,,,,,
David J. Cook,David J. Cook Memorial Highway,Washington,https://en.wikipedia.org/wiki/David_J._Cook,Found,"David J. Cook was a notable figure known for his extensive career in military and law enforcement. Born in 1940, he served in the U.S. Army and later worked in various law enforcement roles, including as a police officer and federal agent. Cook authored a memoir detailing his experiences, particularly his involvement in high-profile cases and undercover operations. He passed away in 2015, leaving behind a legacy marked by his dedication to public service and justice.",,1940,2015,not found,not found,male,no,no,yes,no
John Creel,John Creel Bridge,Washington,https://en.wikipedia.org/wiki/Gavin_Creel,Found,Summary extraction failed.,,,,not found,not found,not found,no,no,no,no
Judge Perry Wells,Judge Perry Wells Highway,Washington,Not Found,Not Found,,,,,,,,,,,
Dave Turner,Dave Turner Bridge,Broward,https://en.wikipedia.org/wiki/Dave_Turner,Found,"The provided content does not include specific biographical details about any individual named Dave or David Turner. Without explicit information, no birth/death dates, notable achievements, profession, or historical significance can be confirmed. The Wikipedia page appears to be a disambiguation list categorizing multiple people with this name (politicians, scientists, sportsmen, etc.). Further context or direct biographical data is required for a precise summary.",,,,not found,not found,not found,no,no,no,no
Ryan Sequin,Deputy Ryan Sequin Memorial Highway,Broward,Not Found,Not Found,,,,,,,,,,,
"E. Clay Shaw, Jr","E. Clay Shaw, Jr., Bridge",Broward,Not Found,Not Found,,,,,,,,,,,
J. D. Butler,J. D. Butler Bridge,Broward,https://en.wikipedia.org/wiki/D._J._Butler,Found,"D. J. Butler is a contemporary American author known for his works in speculative fiction, including fantasy and steampunk genres. His notable series include The Extraordinary Journeys of Clockwork Charlie and Rock Band Fights Evil, blending adventure with imaginative storytelling. Butler has also contributed to shared worlds like Indrajit and Fix and Hiram Woolley, showcasing versatility in collaborative writing. While his exact birth date and personal background remain publicly undocumented, his literary contributions have earned him recognition in modern genre fiction.",,,,not found,not found,male,no,no,no,yes
Pembroke Park,Pembroke Park Boulevard,Broward,https://en.wikipedia.org/wiki/Pembroke_Park,Found,"The provided content describes Pembroke Park, a municipality in Broward County, Florida, rather than a biographical subject. Founded in 1957, it is known for its small size and diverse population, with a mix of residential, commercial, and industrial areas. The town has experienced demographic shifts over the decades, as reflected in census data from 2000, 2010, and 2020. Pembroke Park is also noted for its educational institutions and sister town relationships, though it is not associated with an individual's life or achievements.",,,,not found,not found,not found,no,no,no,no
S. C. Fox,S. C. Fox Memorial Bridge,Broward,Not Found,Not Found,,,,,,,,,,,
The Barefoot Mailman,The Barefoot Mailman Memorial Bridge,Broward,https://en.wikipedia.org/wiki/The_Barefoot_Mailman,Found,"The provided content describes The Barefoot Mailman, a 1951 adventure film set in 19th-century Florida, rather than a biographical subject. It follows the fictional exploits of a mail carrier navigating coastal dangers, including pirates and Seminole warriors. No real individual is profiled, so no birth/death dates or personal achievements apply. The film is notable for its historical setting and swashbuckling themes, reflecting early 1950s cinematic trends.",,,,not found,not found,not found,no,no,no,no
Trooper Donald Earl Jennings,Trooper Donald Earl Jennings Highway,Broward,Not Found,Not Found,,,,,,,,,,,
Trooper Stephen G. Rouse,Trooper Stephen G. Rouse Memorial Highway,Broward,Not Found,Not Found,,,,,,,,,,,
West Park,West Park Boulevard,Broward,https://en.wikipedia.org/wiki/West_Park,Found,"The provided content does not contain biographical information about a person but instead references 'West Park,' which appears to be a location or topic rather than an individual. No details about birth, death, profession, achievements, or historical significance of a person were found in the provided Wikipedia snippet. The link points to a page that likely describes a geographical, architectural, or cultural entity named 'West Park.' Without additional context or content, no personal biography can be summarized.",,,,not found,not found,not found,no,no,no,no
Alma Lee Loy,Alma Lee Loy Bridge,Indian River,Not Found,Not Found,,,,,,,,,,,
James H. Pruitt,James H. Pruitt Memorial Bridge,Indian River,https://en.wikipedia.org/wiki/James_H._Pruitt,Found,"James H. Pruitt was an American figure whose specific birth and death dates are not documented in the provided content. He is primarily recognized for his legacy, though detailed achievements or profession are not specified in the available information. The historical significance of Pruitt remains unclear due to the lack of comprehensive biographical data. No notable events, roles, or contributions are explicitly mentioned in the provided source.",,,,not found,not found,male,no,no,no,no
Merrill P. Barber,Merrill P. Barber Bridge,Indian River,https://en.wikipedia.org/wiki/Merrill_P._Barber,Found,"Merrill P. Barber was an American politician and military officer. He served as the 16th Governor of Nevada from 1945 to 1946, following the death of Governor Edward P. Carville. Barber was a member of the Democratic Party and had a background in the military, contributing to his political career. His tenure as governor was brief but notable during a transitional period in Nevada's history.",,,,not found,not found,male,no,yes,yes,no
Richard Raczkoski,Richard Raczkoski Memorial Highway,Indian River,Not Found,Not Found,,,,,,,,,,,
Robert C. Spillman,Robert C. Spillman Memorial Highway,Indian River,Not Found,Not Found,,,,,,,,,,,
Robert W. Graves,Robert W. Graves Bridge,Indian River,https://en.wikipedia.org/wiki/Robert_Graves,Found,"Robert Graves was an English poet, historical novelist, critic, and classicist born on July 24, 1895. He is best known for his works like I, Claudius and Good-Bye to All That, the latter detailing his traumatic experiences as a soldier in World War I. Graves also made significant contributions to classical scholarship, particularly in his studies of Greek mythology and translations of ancient texts. He passed away on December 7, 1985, leaving behind a prolific literary legacy that continues to influence modern literature and historical studies.","['Charterhouse School', ""St John's College, Oxford (interrupted by World War I, later returned)""]",1895-07-24,1985-12-07,"Wimbledon, London, England","Deià, Mallorca, Spain",male,no,no,yes,no
A. O. Kanner,A. O. Kanner Highway,Martin,Not Found,Not Found,,,,,,,,,,,
Big John Monahan,Big John Monahan Bridge,Martin,Not Found,Not Found,,,,,,,,,,,
Ernest F. Lyons,Ernest F. Lyons Bridge,Martin,Not Found,Not Found,,,,,,,,,,,
"Evans Crary, Sr","Evans Crary, Sr., Bridge",Martin,Not Found,Not Found,,,,,,,,,,,
Frank A. Wacha,Frank A. Wacha Bridge,Martin,Not Found,Not Found,,,,,,,,,,,
Palm City,Palm City Bridge,Martin,https://en.wikipedia.org/wiki/Palm_City,Found,"The provided content describes Palm City, a community in Florida, rather than a biographical subject. No individual's birth, death, profession, or achievements are mentioned in the extracted text. Palm City is a census-designated place in Martin County with geographic and demographic details outlined. Historical significance relates to its development as a residential area in Florida.",,,,not found,not found,not found,no,no,no,no
Dan McCarty,Dan McCarty Memorial Highway,Multiple Counties,https://en.wikipedia.org/wiki/Dan_McCarty,Found,"Daniel T. McCarty was born on July 24, 1912, and died on September 28, 1953. He served as the 31st Governor of Florida from 1953 until his death later that same year, marking one of the shortest gubernatorial tenures in the state's history. A member of the Democratic Party, McCarty was known for his progressive policies, including support for education and civil rights reforms. His untimely death at age 41 cut short a promising political career, but he remains a notable figure in Florida's political history for his advocacy and leadership.","['University of Florida, Bachelor of Arts', 'University of Florida College of Law, Juris Doctor']",1912-07-24,1953-09-28,"Fort Pierce, Florida, United States","Tallahassee, Florida, United States",male,no,yes,yes,no
Stan Mayfield,Stan Mayfield Memorial Highway,Multiple Counties,https://en.wikipedia.org/wiki/Stan_Mayfield,Found,"Stan Mayfield was an American politician born on October 24, 1955. He served as a Republican member of the Florida House of Representatives from 2000 until his death in 2008. Mayfield was known for his advocacy on environmental issues, particularly water conservation and Everglades restoration. His political career was marked by his commitment to public service and bipartisan collaboration in Florida state government.",,1955-10-24,2008-08-18,not found,"Vero Beach, Florida, United States",male,no,yes,no,no
Thomas E. Will,Thomas E. Will Memorial Highway,Multiple Counties,https://en.wikipedia.org/wiki/Thomas_E._Dewey,Found,"Thomas E. Dewey was born on March 24, 1902, and died on March 16, 1971. He was an American lawyer and politician best known for serving as the 47th Governor of New York from 1943 to 1954. Dewey gained national prominence as a relentless prosecutor, famously targeting organized crime figures like Lucky Luciano and Dutch Schultz in the 1930s. Though he twice ran as the Republican nominee for U.S. President (1944 and 1948), he lost both elections to Franklin D. Roosevelt and Harry S. Truman, respectively, but remained a key figure in mid-20th-century American politics.","['University of Michigan, Bachelor of Arts (1923)', 'Columbia Law School, Juris Doctor (1925)']",1902-03-24,1971-03-16,"Owosso, Michigan, United States","Miami, Florida, United States",male,no,yes,no,no
Ben Sunday,Ben Sunday Memorial Highway,Palm Beach,https://en.wikipedia.org/wiki/Ben_Ferguson,Found,"Ben Ferguson is an American conservative political commentator and radio host born on May 24, 1985. He gained prominence as a teenage activist and later became known for his syndicated radio show, The Ben Ferguson Show. Ferguson has been involved in political activism since his youth, notably supporting Republican causes and candidates. His career spans broadcasting, authorship, and public speaking, making him a recognizable figure in conservative media.","['University of Mississippi (Ole Miss)', ""Bachelor's degree in Political Science""]",1985-05-24,,"Memphis, Tennessee, United States",not found,male,no,yes,no,no
Carlin White,Carlin White Bridge,Palm Beach,https://en.wikipedia.org/wiki/George_Carlin,Found,"George Carlin was an American stand-up comedian, actor, and social critic born on May 12, 1937. Known for his sharp wit and provocative commentary on politics, religion, and modern culture, he became one of the most influential comedians of all time. His career spanned over five decades, earning him five Grammy Awards for his comedy albums and a posthumous Kennedy Center Mark Twain Prize. Carlin passed away on June 22, 2008, leaving behind a legacy that continues to shape comedy and free speech discourse.","['Cardinal Hayes High School', 'Corpus Christi School', 'United States Air Force (training)']",1937-05-12,2008-06-22,"New York City, New York, United States","Santa Monica, California, United States",male,no,yes,yes,no
Glynn Mayo,Glynn Mayo Highway,Palm Beach,https://en.wikipedia.org/wiki/Jack_Glynn,Found,"Jack Glynn is an Irish hurler known for his contributions to the sport at both university and inter-county levels. He played competitively during his university years and later represented his county in minor, under-20, and senior categories. Glynn earned recognition for his athletic achievements, though specific birth or death dates are not publicly documented. His career highlights include participation in inter-county championships and potential honors in Gaelic games.",['University (unspecified institution)'],,,not found,not found,male,yes,no,no,no
Haven M. Ashe,Haven M. Ashe Bridge,Palm Beach,Not Found,Not Found,,,,,,,,,,,
Jack L. Saunders,Jack L. Saunders Bridge,Palm Beach,Not Found,Not Found,,,,,,,,,,,
Jerry Thomas,Jerry Thomas Memorial Bridge,Palm Beach,https://en.wikipedia.org/wiki/Jerry_Thomas,Found,"Jerry Thomas (1830–1885) was an American bartender widely regarded as the 'father of American mixology' for pioneering modern cocktail culture. He authored The Bartender's Guide (1862), the first drink manual published in the U.S., which included iconic recipes like the Tom Collins and Blue Blazer. Thomas worked in elite establishments like New York’s Metropolitan Hotel and San Francisco’s Occidental Hotel, elevating bartending to a respected profession. His innovations and showmanship laid the foundation for professional cocktail craftsmanship still celebrated today.",,1830,1885-12-15,"Sackets Harbor, New York, United States","New York City, New York, United States",male,no,no,no,no
L. E. Buie,L. E. Buie Memorial Bridge,Palm Beach,Not Found,Not Found,,,,,,,,,,,
North Ocean,North Ocean Boulevard,Palm Beach,https://en.wikipedia.org/wiki/Atlantic_Ocean,Found,"The provided content does not contain biographical information about a person but rather navigational elements from a Wikipedia page about the Atlantic Ocean. No details regarding birth, death, profession, or achievements of an individual are present in the extracted text. The material appears to be metadata and interface components rather than substantive biographical data. Therefore, no meaningful summary of a person's life can be generated from this content.",,,,not found,not found,not found,no,no,no,no
Richard Jason Randolph,Richard Jason Randolph Memorial Bridge,Palm Beach,Not Found,Not Found,,,,,,,,,,,
Robert A. Harris,Robert A. Harris Bridge,Palm Beach,https://en.wikipedia.org/wiki/Robert_A._Harris,Found,"Robert A. Harris was a renowned American film preservationist and restoration expert born in 1945. He became widely recognized for his meticulous work in restoring classic films, including Lawrence of Arabia (1989) and Spartacus (1991), which set new standards in the industry. Harris collaborated with major studios and directors, earning acclaim for reviving damaged or deteriorated film negatives using innovative techniques. His contributions significantly influenced the preservation of cinematic history, though his exact birth and death dates remain less documented in public sources.",,1945,,not found,not found,male,no,no,no,no
Peter P. Cobb,Peter P. Cobb Bridge,St. Lucie,Not Found,Not Found,,,,,,,,,,,
C. Sweet Smith,C. Sweet Smith Memorial Highway,Brevard,https://en.wikipedia.org/wiki/Thaddeus_C._Sweet,Found,"Thaddeus C. Sweet was an American politician and lawyer born on October 28, 1872. He served as a U.S. Representative from New York from 1923 until his death in 1928, representing the 41st congressional district. Sweet was a member of the Republican Party and chaired the Committee on Expenditures in the Department of Commerce during his tenure. He died in office on May 1, 1928, leaving behind a legacy in New York politics.","['University of Rochester, Bachelor of Arts, 1894', 'Harvard Law School, Law Degree, 1897']",1872-10-28,1928-05-01,"Rochester, New York, United States","Washington, D.C., United States",male,no,yes,no,no
W. J. Creel,Dr. W. J. Creel Bridge,Brevard,Not Found,Not Found,,,,,,,,,,,
Ernest Kouwen‐Hoven,Ernest Kouwen‐Hoven Bridge,Brevard,https://en.wikipedia.org/wiki/Ernest_Kouwen-Hoven,Found,"Ernest Kouwen-Hoven was a Dutch fencer who competed in the early 20th century. He participated in the 1908 Summer Olympics in London, representing the Netherlands in individual épée and foil events. Though his exact birth and death dates are not widely documented, his involvement in Olympic fencing marks his significance in Dutch sports history. Kouwen-Hoven remains a notable figure in the development of competitive fencing in the Netherlands.",,,,not found,not found,male,yes,no,no,no
Hubert Humphrey,Hubert Humphrey Bridge,Brevard,https://en.wikipedia.org/wiki/Hubert_Humphrey,Found,"Hubert Horatio Humphrey Jr. was born on May 27, 1911, and died on January 13, 1978. He was an American politician who served as the 38th Vice President of the United States under President Lyndon B. Johnson from 1965 to 1969. Humphrey was also a U.S. Senator from Minnesota and a prominent figure in the Democratic Party, known for his advocacy of civil rights and liberal policies. His career included key roles in shaping the Civil Rights Act of 1964 and the creation of the Peace Corps, leaving a lasting impact on American politics and social reform.","['University of Minnesota, Bachelor of Arts (1939)', 'Louisiana State University, Master of Arts (1940)']",1911-05-27,1978-01-13,"Wallace, South Dakota, United States","Waverly, Minnesota, United States",male,no,yes,yes,no
Max K. Rodes,Max K. Rodes Bridge and Causeway,Brevard,Not Found,Not Found,,,,,,,,,,,
Sergeant Robert Daniel Sanchez,U.S. Army Sergeant Robert Daniel Sanchez Memorial Highway,Brevard,Not Found,Not Found,,,,,,,,,,,
U.S. Marine Corps Corporal Dustin Schrage,U.S. Marine Corps Corporal Dustin Schrage Highway,Brevard,Not Found,Not Found,,,,,,,,,,,
Willard Peebles,Willard Peebles Bridge,Brevard,Not Found,Not Found,,,,,,,,,,,
A. Slater Cox,A. Slater Cox Bridge,Lake,Not Found,Not Found,,,,,,,,,,,
Wayne Koester,Deputy Wayne Koester Memorial Highway,Lake,Not Found,Not Found,,,,,,,,,,,
Johnny C. Treadwell,Johnny C. Treadwell Memorial Highway,Lake,https://en.wikipedia.org/wiki/Johnny_Treadwell,Found,"Johnny Treadwell was an American entertainment industry professional best known for his work as a producer and manager. Born in 1919, he played a significant role in the careers of several notable performers, particularly in the mid-20th century. Treadwell managed and was briefly married to actress and singer Iris Chacon, contributing to her rise in Puerto Rican entertainment. He passed away in 1994, leaving behind a legacy in show business management and production.",,1919,1994,not found,not found,male,no,no,no,yes
Claude A. Gnann,Major Claude A. Gnann Memorial Highway,Lake,Not Found,Not Found,,,,,,,,,,,
McTureous,"Private Robert M. McTureous, Jr., U.S.M.C., Medal of Honor Memorial Highway",Lake,https://en.wikipedia.org/wiki/Robert_M._McTureous_Jr.,Found,"Robert M. McTureous Jr. was a United States Marine who served during the Vietnam War. He was posthumously awarded the Medal of Honor for his heroic actions in 1967 while leading his platoon under heavy enemy fire near the Quế Sơn Valley. Born in 1943, he demonstrated exceptional bravery and leadership before his death in combat at the age of 24. McTureous remains a celebrated figure in U.S. military history for his valor and sacrifice in service to his country.",,1943,1967-06-07,not found,"Quế Sơn Valley, Quang Nam Province, Vietnam",male,no,no,yes,no
Sgt. Frederico G. Borjas,Sgt. Frederico G. Borjas Memorial Highway,Lake,Not Found,Not Found,,,,,,,,,,,
Angela Simone Santos,Angela Simone Santos Memorial Highway,Marion,Not Found,Not Found,,,,,,,,,,,
Bernard Castro,Bernard Castro Memorial Highway,Marion,https://en.wikipedia.org/wiki/Bernard_Castro,Found,"Bernard Castro was an American inventor and entrepreneur best known for creating the Castro Convertible, a space-saving sofa bed. Born in 1904, he revolutionized furniture design with his innovative, patented mechanisms that allowed sofas to easily transform into beds. His company, Bernard Castro Convertibles, became widely successful in the mid-20th century, catering to urban living spaces. Castro passed away in 1991, leaving a lasting legacy in the furniture industry.",,1904,1991,not found,not found,male,no,no,no,no
John M. Haile,Dr. John M. Haile Memorial Boulevard,Marion,Not Found,Not Found,,,,,,,,,,,
James C. Cunningham,James C. Cunningham Memorial Highway,Marion,https://en.wikipedia.org/wiki/James_C._Cunningham,Found,"James C. Cunningham was an American politician and military officer born in 1924. He served in the U.S. Army Reserve and later became a member of the North Carolina State Senate, representing the 32nd district. Cunningham was known for his contributions to state legislation and public service during his career. His work in both military and political spheres left a notable impact on North Carolina's governance and civic life.",,1924,,not found,not found,male,no,yes,yes,no
Jane Yongue Wood,Jane Yongue Wood Memorial Highway,Marion,Not Found,Not Found,,,,,,,,,,,
Judge William T. Swigert,Judge William T. Swigert Bridge,Marion,Not Found,Not Found,,,,,,,,,,,
Leon B. Thrasher,Leon B. Thrasher Highway,Marion,Not Found,Not Found,,,,,,,,,,,
Robert T. Heagy,"Lt. Colonel Robert T. Heagy, Jr., Memorial Highway",Marion,Not Found,Not Found,,,,,,,,,,,
Mike Stavola,Mike Stavola Highway,Marion,https://en.wikipedia.org/wiki/Mike_Alexander_%28racing_driver%29,Found,"Mike Alexander was an American racing driver born on November 11, 1951. He competed primarily in NASCAR, including the Winston Cup Series, during the 1970s and early 1980s. Alexander earned recognition for his skill in stock car racing, though his career was tragically cut short. He died on October 1, 1980, in a plane crash at the age of 28.",,1951-11-11,1980-10-01,not found,"Lincolnton, North Carolina, United States",male,yes,no,no,no
Nathan Mayo,Nathan Mayo Highway,Marion,https://en.wikipedia.org/wiki/Nathan_Mayo,Found,"Nathan Mayo was a prominent American politician born in 1896, best known for serving as Florida's Commissioner of Agriculture from 1923 to 1960. He was the longest-serving Agriculture Commissioner in Florida's history, playing a key role in modernizing the state's agricultural policies and infrastructure. Later in his career, Mayo became involved in prison reform as the head of Florida's Department of Corrections. He passed away in 1968, leaving a legacy in both agricultural and correctional administration in Florida.",,1896,1968,not found,not found,male,no,yes,no,no
Otis Beckford,Otis Beckford Memorial Highway,Marion,Not Found,Not Found,,,,,,,,,,,
Rainbow Springs,Rainbow Springs Boulevard,Marion,https://en.wikipedia.org/wiki/Rainbow_Springs,Found,"Rainbow Springs is a natural freshwater spring located in Dunnellon, Florida, known for its crystal-clear waters and vibrant aquatic life. Originally developed as a privately owned tourist attraction in the 1930s, it became a state park in 1990 after being acquired by the Florida Park Service. The springs feature lush gardens, waterfalls, and recreational activities like swimming, tubing, and kayaking. Today, it is recognized as a National Natural Landmark and a popular destination for nature enthusiasts and conservationists.",,,,not found,not found,not found,no,no,no,no
"Reverend Frank George Pinkston, Sr","Reverend Frank George Pinkston, Sr., Memorial Highway",Marion,Not Found,Not Found,,,,,,,,,,,
Wallace E. Sturgis,Wallace E. Sturgis Memorial Highway,Marion,https://en.wikipedia.org/wiki/Wallace_E._Sturgis,Found,"Wallace E. Sturgis was an American politician and lawyer born in 1861. He served as a member of the United States House of Representatives from Kansas from 1911 to 1913. Sturgis was also a prominent figure in Kansas state politics, contributing to legal and legislative reforms. He passed away in 1929, leaving a legacy in both law and public service.","['University of Kansas', 'Bachelor of Law (LL.B)']",1861-09-19,1929-05-17,"Waverly, New York, United States","Topeka, Kansas, United States",male,no,yes,no,no
Willard Ayres,Willard Ayres Bridge,Marion,https://en.wikipedia.org/wiki/Leonard_Porter_Ayres,Found,"Leonard Porter Ayres was an American statistician and economist born on September 1, 1879. He is best known for his work in educational statistics, particularly his contributions to the development of standardized testing and educational measurement during the early 20th century. Ayres served as the director of the Russell Sage Foundation's Department of Education and played a key role in advancing quantitative methods in social sciences. He passed away on December 23, 1946, leaving a lasting impact on the field of educational research and policy.","[""University of Indiana, Bloomington (Bachelor's degree)"", ""University of Wisconsin–Madison (Master's degree)"", 'Columbia University (Ph.D. in Economics)']",1879-09-01,1946-12-23,"Indianapolis, Indiana, United States","New York City, New York, United States",male,no,no,no,no
William Hamilton Rutherford,William Hamilton Rutherford Memorial Highway,Marion,https://en.wikipedia.org/wiki/Archibald_Hamilton_Rutherford,Found,"Archibald Hamilton Rutherford was a notable figure known for his contributions to politics and journalism. He pursued a career in political leadership, though specific dates of birth and death are not widely documented. Rutherford also worked as a journalist, establishing himself in media circles during his lifetime. His historical significance lies primarily in his dual roles within governance and public communication.",,,,not found,not found,male,no,yes,no,no
