name,wikipedia_url,Does_Sam_Think_is_real,match_confidence,original_designation,OBJECTID,status,validated,validation_notes,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
James Gadsden,https://en.wikipedia.org/wiki/Christopher_Gadsden,no,50.2,,,Found,TRUE,seq=11.2; human:+40; fl-miss:-10; us:+5,"Christopher Gadsden was an American patriot born on February 16, 1724, who played a key role in the American Revolution as a delegate to the Continental Congress and a staunch advocate for independence. Known for designing the Gadsden flag featuring a coiled rattlesnake and the motto 'Don't Tread on Me,' he also served as a brigadier general in the South Carolina militia. Gadsden was imprisoned by the British during the war but continued his political and military efforts upon release, opposing slavery while owning enslaved people himself. He died on August 28, 1805, leaving a complex legacy as a revolutionary leader and symbol of early American defiance.",,1724-02-16,1805-08-28,"Charleston, South Carolina, British America","Charleston, South Carolina, United States",male,no,yes,yes,no
Air Commando,https://en.wikipedia.org/wiki/John_R._Alison,no,50.2,,,Found,TRUE,seq=6.2; last-mismatch:-4; human:+40; fl:+10,"John R. Alison was an American military aviator born on November 21, 1912, who became a pioneering figure in air combat and special operations during World War II. He co-founded the 1st Air Commando Group, a specialized unit that conducted critical missions in Burma, including the first combat use of helicopters. Alison earned numerous decorations, including the Distinguished Service Cross, for his bravery and leadership in aerial warfare. He passed away on June 6, 2011, leaving a lasting legacy in military aviation history.","['United States Military Academy (West Point), Bachelor of Science, 1935', 'California Institute of Technology, Aeronautical Engineering (postgraduate studies)']",1912-11-21,2011-06-06,"Miami, Florida, United States","Fort Walton Beach, Florida, United States",male,yes,no,yes,no
Otis Beckford,https://en.wikipedia.org/wiki/Linda_Drane_Burdick,no,50.2,,,Found,TRUE,seq=6.2; last-mismatch:-4; human:+40; fl:+10,"Linda Drane Burdick is an American attorney known for her high-profile legal career in Florida. She gained national recognition as the lead prosecutor in the 2011 Casey Anthony trial, a widely publicized murder case. Burdick has served as an Assistant State Attorney in Orange County, handling numerous significant criminal prosecutions. Her work has established her as a prominent figure in the U.S. legal system, particularly in the field of criminal law.","['University of Florida, Fredric G. Levin College of Law, Juris Doctor', 'University of Florida, Bachelor of Arts in Political Science']",,,not found,not found,female,no,no,no,no
Robert L. Blum,https://en.wikipedia.org/wiki/Arlene_Blum,no,50.2,,,Found,TRUE,seq=11.2; human:+40; fl-miss:-10; us:+5,"Arlene Blum (born 1945) is an American mountaineer, scientist, and author best known for leading the first all-female ascent of Annapurna I in 1978. A pioneering figure in both climbing and environmental science, she conducted influential research on flame retardants and their health impacts. Blum also authored books like Annapurna: A Woman’s Place and Breaking Trail, documenting her expeditions and advocacy work. Her contributions span mountaineering achievements, scientific policy, and gender equality in exploration fields.","['Reed College, B.A. in Chemistry', 'University of California, Berkeley, Ph.D. in Biophysical Chemistry']",1945-01-01,,"Chicago, Illinois, United States",not found,female,yes,no,no,no
Corporal Michael Joseph Roberts,https://en.wikipedia.org/wiki/Joseph_Iannuzzi,no,50.1,,1539,Found,TRUE,seq=6.1; last-mismatch:-4; human:+40; fl:+10,"Joseph Iannuzzi was a former American mobster associated with the Gambino crime family in New York City. Born into a life of organized crime, he later became an informant for the FBI following his arrest, providing critical intelligence that aided law enforcement. Iannuzzi also authored a cookbook titled Mafia Cooking: The Recipe Hit List, blending his criminal past with culinary interests. His life reflects a complex transition from street-level criminal activities to cooperation with authorities and unconventional ventures like writing.",,,,not found,not found,male,no,no,yes,no
Rep. J. Troy Peacock,https://en.wikipedia.org/wiki/Wankard_Pooser,no,50,,,Found,TRUE,seq=4.7; last-mismatch:-4; human:+40; fl:+10,"Wankard Pooser is a historical figure with limited available biographical information. No specific birth or death dates, notable achievements, or profession are documented in the provided content. The name appears in Wikipedia but lacks detailed context regarding their life or contributions. Without further data, their historical significance remains unclear.",,,,not found,not found,not found,no,no,no,no
Purple Heart,https://en.wikipedia.org/wiki/Thomas_R._Norris,no,50,,,Found,TRUE,seq=4.3; last-mismatch:-4; human:+40; fl:+10,"Thomas R. Norris was a highly decorated United States Navy SEAL and later an FBI agent, born on January 14, 1944. He is best known for his heroic actions during the Vietnam War, particularly the 1972 ground rescue of two downed pilots behind enemy lines, for which he received the Medal of Honor. Norris also conducted critical intelligence-gathering missions and was one of the most celebrated SEALs of his era. After his military career, he transitioned to law enforcement, serving in the FBI until his retirement in 1979 due to injuries sustained in combat.","['University of Maryland, College Park', 'Bachelor of Science in Sociology']",1944-01-14,,"Jacksonville, Florida, United States",not found,male,no,no,yes,no
Joe C. Peavy,https://en.wikipedia.org/wiki/Sheila_Jackson_Lee,no,50,,,Found,TRUE,seq=5.3; last-mismatch:-4; human:+40; fl:+10,"Sheila Jackson Lee is an American politician born on January 12, 1950, in New York City, New York, USA. She has served as the U.S. Representative for Texas's 18th congressional district since 1995, becoming one of the longest-serving African American women in Congress. A member of the Democratic Party, she is known for her advocacy on civil rights, criminal justice reform, and homeland security issues. Jackson Lee has also held key roles on committees like the House Judiciary and Homeland Security Committees during her tenure.","['Yale University, Bachelor of Arts (1972)', 'University of Virginia School of Law, Juris Doctor (1975)']",1950-01-12,,"Queens, New York, United States of America",not found,female,no,yes,no,no
Rene Ledesma,https://en.wikipedia.org/wiki/RJ_Ledesma,no,50,,,Found,TRUE,seq=16.4; human:+40; fl-miss:-10,"RJ Ledesma is a Filipino television host, actor, writer, and entrepreneur born on October 12, 1976. He is best known for his work as a VJ on MTV Asia and as a host on various Philippine TV shows, including The Morning Rush and The Late Night Show. Beyond media, Ledesma has authored books like Shift and co-founded businesses such as Mercato Centrale, a popular weekend market in Manila. His career spans entertainment, literature, and entrepreneurship, making him a prominent multi-hyphenate figure in the Philippines.","['Ateneo de Manila University, Bachelor of Science in Management Engineering', 'Columbia University, Master of Science in Journalism (unverified, per some sources)']",1976-10-12,,"Manila, Philippines",not found,male,no,no,no,no
Nelson Mandela,https://en.wikipedia.org/wiki/Nelson_Mandela,no,50,,,Found,TRUE,seq=20.0; human:+40; fl-miss:-10,"Nelson Mandela was born on July 18, 1918, in Mvezo, South Africa, and died on December 5, 2013, in Johannesburg. He was a revolutionary anti-apartheid activist, politician, and philanthropist who became South Africa’s first Black president (1994–1999) after spending 27 years in prison for his opposition to racial segregation. A lawyer by profession, Mandela co-founded the militant Umkhonto we Sizwe in 1961 and led negotiations to dismantle apartheid, earning global acclaim for his advocacy of reconciliation and human rights. His legacy endures as a symbol of resistance against oppression and a champion of democracy, peace, and social justice worldwide.","['Clarkebury Boarding Institute (secondary education)', 'Healdtown Methodist Boarding School (secondary education)', 'University of Fort Hare (BA, unfinished)', 'University of Witwatersrand (LLB, completed via correspondence)', 'University of London (external law program, unfinished)']",1918-07-18,2013-12-05,"Mvezo, Eastern Cape, South Africa","Johannesburg, Gauteng, South Africa",male,yes,yes,yes,no
Palma Sola,https://en.wikipedia.org/wiki/Jennie_Kidd_Trout,no,50,,,Found,TRUE,seq=3.0; last-mismatch:-4; human:+40; fl:+10,"Jennie Kidd Trout was born on April 21, 1841, and died on November 10, 1921. She became the first woman licensed to practice medicine in Canada in 1875, marking a historic milestone for women in the medical profession. Trout was a physician and advocate for women’s health, establishing a free dispensary for the poor in Toronto. Her pioneering work opened doors for future generations of women in medicine and healthcare.","[""Toronto School of Medicine (Women's Medical College), MD, 1875"", 'Normal School (teacher training), Ontario']",1841-04-21,1921-11-10,"Kelso, Scotland, United Kingdom","Hollywood, California, United States",female,no,no,no,no
Hamilton Allan Smith,https://en.wikipedia.org/wiki/Jimmy_Patronis,no,50,,,Found,TRUE,seq=5.9; last-mismatch:-4; human:+40; fl:+10,"Jimmy Patronis is an American politician born in 1972, known for his service in Florida's government. He began his political career in the Florida House of Representatives (2002–2006) before joining the Florida Public Service Commission (2007–2014). Patronis later became Florida's Chief Financial Officer in 2017, a position he held until his resignation in 2024 amid controversy. His tenure included oversight of financial regulations and public service policies, though it was also marked by accusations of 'pay-to-play' practices.",,1972-01-01,,not found,not found,male,no,yes,no,no
Pembroke Park,https://en.wikipedia.org/wiki/Ida_Haendel,no,50,,,Found,TRUE,seq=3.3; last-mismatch:-4; human:+40; fl:+10,"Ida Haendel was a Polish-British violinist born on December 15, 1928, in Chełm, Poland, and died on June 30, 2020, in Miami, Florida. Renowned as one of the greatest violinists of the 20th century, she began her career as a child prodigy and performed globally with leading orchestras. Haendel was celebrated for her expressive interpretations of Romantic repertoire, particularly works by composers like Tchaikovsky and Sibelius. Her legacy endures through her extensive recordings, teaching, and influence on classical music, earning her numerous honors including the Order of the British Empire (CBE).","['Curtis Institute of Music, Philadelphia (studied under Carl Flesch and Louis Persinger)', 'Private studies with George Enescu (Paris)']",1928-12-15,2020-06-30,"Chełm, Lublin Voivodeship, Poland","Miami, Florida, United States",female,no,no,no,yes
Palm City,https://en.wikipedia.org/wiki/Percy_Wood,no,50,,,Found,TRUE,seq=4.2; last-mismatch:-4; human:+40; fl:+10,"Percy Wood was an English professional footballer born in 1889. He played as a forward for clubs including Nottingham Forest and Derby County during the early 20th century. Wood was known for his contributions to football during a period of significant growth in the sport. His career details remain limited, but he is remembered as part of the early history of English football.",,1889-01-01,,not found,not found,male,yes,no,no,no
Rosa Parks,https://en.wikipedia.org/wiki/Rosa_Parks,no,50,,,Found,TRUE,seq=20.0; human:+40; fl-miss:-10,"Rosa Parks was an American civil rights activist born on February 4, 1913, in Tuskegee, Alabama, and died on October 24, 2005, in Detroit, Michigan. She is best known for her pivotal role in the Montgomery Bus Boycott after refusing to give up her bus seat to a white passenger on December 1, 1955, sparking a nationwide movement against racial segregation. A seamstress by profession, Parks became a symbol of resistance and dignity in the fight for racial equality. Her activism earned her the title 'Mother of the Civil Rights Movement' and left a lasting legacy in American history.","['Alabama State Teachers College for Negroes (now Alabama State University), high school diploma', 'Montgomery Industrial School for Girls (secondary education)']",1913-02-04,2005-10-24,"Tuskegee, Alabama, United States","Detroit, Michigan, United States",female,no,yes,no,no
Judy Drucker,https://en.wikipedia.org/wiki/Hecky_Krasnow,no,50,,,Found,TRUE,seq=4.8; last-mismatch:-4; human:+40; fl:+10,"Hecky Krasnow was an American record producer and music industry executive born in 1901. He is best known for his work in the 1920s and 1930s, producing early jazz and dance records, including collaborations with notable artists of the era. Krasnow also worked with animal importer Frank Buck, contributing to the promotion of Buck’s exotic animal shows and recordings. He passed away in 1973, leaving behind a legacy in early 20th-century music production and entertainment promotion.",,1901-01-01,1973-01-01,not found,not found,male,no,no,no,yes
Roi Henri Christophe,https://en.wikipedia.org/wiki/Henri_Christophe,no,50,,,Found,TRUE,seq=17.8; human:+40; fl-miss:-10,"Henri Christophe was born on October 6, 1767, in Grenada and died on October 8, 1820, in Haiti. He was a key leader in the Haitian Revolution, serving as a general under Toussaint Louverture and later becoming a prominent political figure. Christophe declared himself King Henry I of the Kingdom of Haiti in 1811, ruling the northern part of the country until his suicide in 1820. His reign was marked by efforts to modernize Haiti, including constructing the Citadelle Laferrière and establishing a rigid aristocratic system, leaving a lasting legacy in Haitian history.",,1767-10-06,1820-10-08,"Grenada, Caribbean","Sans-Souci Palace, Milot, Haiti",male,no,yes,yes,no
Yitzhak Rabin,https://en.wikipedia.org/wiki/Yitzhak_Rabin,no,50,,,Found,TRUE,seq=20.0; human:+40; fl-miss:-10,"Yitzhak Rabin was born on March 1, 1922, in Jerusalem, Mandatory Palestine, and was assassinated on November 4, 1995, in Tel Aviv, Israel. He was an Israeli politician, statesman, and general who served twice as the Prime Minister of Israel (1974–1977 and 1992–1995). Rabin played a pivotal role in the Israeli military, rising to Chief of Staff of the Israel Defense Forces (IDF) and leading Israel to victory in the 1967 Six-Day War. His political legacy includes signing the Oslo Accords with Palestine, for which he was awarded the Nobel Peace Prize in 1994 alongside Shimon Peres and Yasser Arafat.","['Kadoorie Agricultural High School, Israel', 'British Military Staff College, UK (1953)']",1922-03-01,1995-11-04,"Jerusalem, Mandatory Palestine","Tel Aviv, Israel",male,no,yes,yes,no
First Coast,https://en.wikipedia.org/wiki/Henry_Flagler,no,50,,,Found,TRUE,seq=3.3; last-mismatch:-4; human:+40; fl:+10,"Henry Morrison Flagler was born on January 2, 1830, and died on May 20, 1913. He was an American industrialist and a key partner in Standard Oil, co-founding the company with John D. Rockefeller and contributing significantly to its monopolistic expansion. Flagler later shifted his focus to Florida, where he developed the Florida East Coast Railway and built luxury resort hotels, transforming the state into a major tourist destination. His legacy includes shaping Florida's infrastructure and economy, though his business practices, including alleged use of convict labor, remain controversial.","['Belpre Academy (Ohio)', 'Limited formal education beyond early schooling']",1830-01-02,1913-05-20,"Hopewell, New York, United States","West Palm Beach, Florida, United States",male,no,no,no,no
Kimberly Ann Hurd,https://en.wikipedia.org/wiki/Michelle_Hurd,no,49.7,,135,Found,TRUE,seq=10.7; human:+40; fl-miss:-10; us:+5,"Michelle Hurd is an American actress born on December 21, 1966, known for her extensive work in television, film, and theater. She gained prominence for her roles in series like Star Trek: Picard (as Raffi Musiker) and Law & Order: Special Victims Unit (as Detective Monique Jeffries). Hurd also holds a leadership position as the Secretary-Treasurer of SAG-AFTRA, advocating for actors' rights and industry standards. Her career spans over three decades, with notable contributions to both mainstream and independent productions across multiple media formats.","['New York University, Tisch School of the Arts', 'Bachelor of Fine Arts in Drama']",1966-12-21,,"New York City, New York, United States",not found,female,no,no,no,no
Anthony Reznik,https://en.wikipedia.org/wiki/Kirill_Reznik,no,49.4,,,Found,TRUE,seq=10.4; human:+40; fl-miss:-10; us:+5,"Kirill Reznik is an American politician who served in the Maryland House of Delegates from 2007 to 2015. Born in the Soviet Union, he immigrated to the United States and became actively involved in local politics, representing District 39 in Montgomery County. Reznik focused on progressive policies, including healthcare reform, education, and environmental protection during his legislative tenure. His career reflects a commitment to public service and advocacy for immigrant communities in Maryland.",,,,not found,not found,male,no,yes,no,no
Trooper Claude Baker,https://en.wikipedia.org/wiki/Josephine_Baker,no,49.3,,292,Found,TRUE,seq=10.3; human:+40; fl-miss:-10; us:+5,"Josephine Baker was an American-born French entertainer, activist, and icon born on June 3, 1906, in St. Louis, Missouri. She rose to fame as a dancer and singer in 1920s Paris, becoming one of the most celebrated performers of her era with her provocative and energetic routines. During World War II, she served as a spy for the French Resistance, earning military honors for her bravery. Baker was also a prominent civil rights activist, advocating for racial equality until her death on April 12, 1975, in Paris, France.",,1906-06-03,1975-04-12,"St. Louis, Missouri, United States","Paris, Île-de-France, France",female,no,yes,yes,yes
Private Tillman R. Clark,https://en.wikipedia.org/wiki/Ramsey_Clark,no,49,,,Found,TRUE,seq=10.0; human:+40; fl-miss:-10; us:+5,"Ramsey Clark was born on December 18, 1927, and died on April 9, 2021. He was an American lawyer, activist, and public servant who served as the 66th United States Attorney General under President Lyndon B. Johnson from 1967 to 1969. Known for his progressive legal stances, Clark later became a prominent anti-war and human rights advocate, often representing controversial international clients. His career spanned government service, private legal practice, and global activism, leaving a lasting impact on civil liberties and international law.","['University of Texas at Austin, BA (1949)', 'University of Chicago Law School, LLB (1950)', 'University of Chicago Law School, JD (1950)']",1927-12-18,2021-04-09,"Dallas, Texas, United States","New York City, New York, United States",male,no,yes,yes,no
W.S. Badcock,https://en.wikipedia.org/wiki/Ted_Badcock,no,47.9,,,Found,TRUE,seq=13.9; human:+40; fl-miss:-10,"Ted Badcock (1876–1952) was an Australian cricketer known for his left-arm orthodox spin bowling. He played seven Test matches for Australia between 1902 and 1905, contributing to the team's early 20th-century success. Badcock began his first-class career with Victoria in 1899 and later represented South Australia, earning a reputation as a reliable bowler. His cricket career spanned over a decade, leaving a legacy in Australian domestic and international cricket history.",,1876-01-01,1952-01-01,not found,not found,male,yes,no,no,no
John B. Coxwell,https://en.wikipedia.org/wiki/Henry_Tracey_Coxwell,no,46.6,,,Found,TRUE,seq=12.6; human:+40; fl-miss:-10,"Henry Tracey Coxwell (1819–1900) was a pioneering British aeronaut and professional balloonist renowned for his daring high-altitude flights. His most famous achievement was the 1862 ascent with scientist James Glaisher, reaching an estimated 37,000 feet (7 miles) and surviving extreme conditions, which advanced atmospheric research. Coxwell's expertise in balloon navigation and safety earned him recognition as one of the 19th century's foremost aeronauts. He continued ballooning for decades, contributing to early aviation history before his death in 1900.",,1819-01-01,1900-01-01,not found,not found,male,no,no,no,no
Henri Levy,https://en.wikipedia.org/wiki/Henri_Michel-L%C3%A9vy,no,45.3,,,Found,TRUE,seq=13.3; last-mismatch:-4; human:+40; fl-miss:-10,"Henri Michel-Lévy was a French mineralogist and petrographer born in 1844, known for his pioneering work in optical mineralogy. He developed techniques for studying minerals under polarized light, significantly advancing the field of petrology. Michel-Lévy served as a professor at the Sorbonne and contributed to the understanding of rock formations and crystal structures. He passed away in 1914, leaving a lasting legacy in geological sciences.","['École Normale Supérieure (Paris)', 'Doctorate in Natural Sciences, University of Paris']",1844-01-01,1914-01-01,"Paris, France",not found,male,no,no,no,no
Reverend Kenneth C. Crossman,https://en.wikipedia.org/wiki/Richard_Crossman,no,44.9,,,Found,TRUE,seq=10.9; human:+40; fl-miss:-10,"Richard Crossman was a British Labour politician born on December 15, 1907, who served as a Member of Parliament (MP) for Coventry East from 1945 to 1974. He held key government positions, including Minister of Housing and Local Government (1964–66) and Leader of the House of Commons (1966–70), while also being known for his intellectual contributions and diaries documenting political life. Crossman was a prominent anti-communist during the Cold War, working with organizations like the Information Research Department to counter Soviet influence. He died on April 5, 1974, leaving a legacy as a reformist politician and influential figure in post-war British governance.","['Winchester College', 'New College, Oxford, BA in Philosophy, Politics and Economics (PPE)', 'New College, Oxford, MA']",1907-12-15,1974-04-05,"Banstead, Surrey, United Kingdom","Oxford, Oxfordshire, United Kingdom",male,no,yes,yes,no
Robert C. Spillman,https://en.wikipedia.org/wiki/Robert_Stone_%28novelist%29,no,44,,,Found,TRUE,seq=12.0; last-mismatch:-4; human:+40; fl-miss:-10,"Robert Stone was an American novelist born on August 21, 1937, known for his works exploring themes of morality, politics, and existentialism. He gained critical acclaim for novels like A Hall of Mirrors (1967), which won the William Faulkner Foundation Award, and Dog Soldiers (1974), recipient of the National Book Award. Stone’s writing often reflected his experiences, including his service in the U.S. Navy and his travels through turbulent 1960s counterculture. He passed away on January 10, 2015, leaving behind a legacy as a defining voice in late 20th-century American literature.","['Trinity College-Pawling (prep school)', 'New York University (no degree)', 'Stanford University (Stegner Fellowship, creative writing)']",1937-08-21,2015-01-10,"Brooklyn, New York, United States","Key West, Florida, United States",male,no,yes,yes,no
Maestro Luis Casas Romero,https://en.wikipedia.org/wiki/Curro_Romero,no,43.7,,,Found,TRUE,seq=9.7; human:+40; fl-miss:-10,"Curro Romero was a legendary Spanish bullfighter born on December 1, 1933, in Camas, Spain. Known for his artistic and elegant style in the bullring, he became one of the most celebrated matadors of the 20th century, achieving fame during the 1960s and 1970s. His career spanned several decades, earning him numerous distinctions and a lasting legacy in the world of bullfighting. Romero passed away on May 13, 2024, leaving behind a profound impact on the cultural tradition of tauromaquia in Spain and beyond.",,1933-12-01,2024-05-13,"Camas, Seville, Spain","Seville, Andalusia, Spain",male,yes,no,no,no
Doolittle Raiders,https://en.wikipedia.org/wiki/Jonna_Doolittle_Hoppes,no,41.3,,,Found,TRUE,seq=12.3; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Jonna Doolittle Hoppes was an American educator, author, and television personality best known for her work in physical education and health. Born in 1905, she became a prominent figure in promoting fitness and wellness through her books, lectures, and TV appearances. Hoppes authored several influential works on physical education and contributed to the field as a professor at the University of Southern California. She passed away in 1979, leaving a lasting legacy in health education and public advocacy for active lifestyles.","['University of Southern California, PhD in Physical Education', ""University of California, Los Angeles, Master's in Physical Education"", ""University of California, Berkeley, Bachelor's in Physical Education""]",1905-01-01,1979-01-01,not found,not found,female,yes,no,no,no
Mayor Randall Wise,https://en.wikipedia.org/wiki/Randall_Franks,no,40.2,,,Found,TRUE,seq=11.2; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Randall Franks is an American actor, musician, author, and journalist best known for his role as 'Officer Randy Goode' on the TV series In the Heat of the Night. Born into a family with deep roots in entertainment, he has also made significant contributions to bluegrass and country music as a performer and producer. Franks has authored books and worked as a journalist, covering topics ranging from entertainment to regional history. His career spans multiple decades, blending acting, music, and writing into a diverse professional legacy.",,,,not found,not found,male,no,no,no,yes
Trooper Joseph Bullock,https://en.wikipedia.org/wiki/Harry_Joseph_Flynn,no,40,,98,Found,TRUE,seq=11.0; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Harry Joseph Flynn was born on May 2, 1933, in Schenectady, New York, and became a prominent American prelate of the Roman Catholic Church. He served as the Coadjutor Bishop (1986–1994) and Bishop of Lafayette in Louisiana (1994–1995), followed by roles as Coadjutor Archbishop (1995–2001) and Archbishop of Saint Paul and Minneapolis (2001–2008). Known for his progressive leadership, Flynn played a key role in addressing clergy sexual abuse scandals and advocating for social justice within the Church. He passed away on September 22, 2019, in Saint Paul, Minnesota, leaving a legacy as a reform-minded and compassionate religious leader.","[""St. Joseph's Seminary, Yonkers, New York - Bachelor's and Master's in Theology"", 'Pontifical Gregorian University, Rome - Licentiate in Canon Law']",1933-05-02,2019-09-22,"Schenectady, New York, United States","Saint Paul, Minnesota, United States",male,no,no,no,no
Carlos C. Lopez‐Aguiar,https://en.wikipedia.org/wiki/Carlos_de_Sig%C3%BCenza_y_G%C3%B3ngora,no,40,,,Found,TRUE,seq=8.0; last-mismatch:-4; human:+40; fl-miss:-10,"Carlos de Sigüenza y Góngora was a Mexican scholar, scientist, and writer born in 1645 and died in 1700. He is best known for his contributions to astronomy, geography, and mathematics during the colonial period in New Spain (modern-day Mexico). Sigüenza y Góngora served as the royal geographer and chronicler, producing influential works on the history and culture of Mexico. His intellectual legacy includes defending indigenous knowledge and collaborating with notable figures like Sor Juana Inés de la Cruz.","['Colegio Máximo de San Pedro y San Pablo (Jesuit institution), Philosophy and Theology', 'Royal and Pontifical University of Mexico, Mathematics and Astronomy']",1645-08-14,1700-08-22,"Mexico City, New Spain (Mexico)","Mexico City, New Spain (Mexico)",male,no,no,no,no
Bill Seidle,https://en.wikipedia.org/wiki/Caroline_Siedle,no,39.8,,,Found,TRUE,seq=10.8; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Caroline Siedle is a contemporary costume designer known for her work in theater and film. Her designs have contributed to numerous productions, showcasing her expertise in creating visually compelling and historically accurate costumes. While specific birth and death dates are not publicly documented, her career highlights include notable collaborations in the performing arts. Siedle's work reflects a deep understanding of character development through costume, making her a respected figure in her field.",,,,not found,not found,female,no,no,no,no
Jacob Fleishman,https://en.wikipedia.org/wiki/Josh_Radnor,no,38.2,,,Found,TRUE,seq=9.2; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,Summary extraction failed.,,,,not found,not found,not found,no,no,no,no
Trooper Ronald Gordon Smith,https://en.wikipedia.org/wiki/Leo_Gordon,no,37.6,,1532,Found,TRUE,seq=8.6; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Leo Gordon (1922–2000) was an American actor, screenwriter, and novelist best known for his tough-guy roles in Westerns and crime films during the 1950s and 1960s. Born in Brooklyn, New York, he began his career after serving in World War II, eventually appearing in over 100 films and TV shows, including The Vanishing American and The Tall T. Gordon also wrote screenplays and novels, often drawing from his own rugged life experiences, including a stint in prison for armed robbery. His contributions to film and literature cemented his legacy as a distinctive figure in mid-20th-century American entertainment, blending real-life grit with on-screen intensity.",,1922-12-02,2000-12-26,"Brooklyn, New York, United States","Los Angeles, California, United States",male,no,no,yes,no
Austin D. Gayne,https://en.wikipedia.org/wiki/George_Gaynes,no,37.6,,,Found,TRUE,seq=8.6; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"George Gaynes was a Finnish-born American actor born on May 16, 1917, best known for his roles in film, television, and theater. He gained widespread recognition for his portrayal of Commandant Eric Lassard in the Police Academy film series and as Henry Warnimont in Punky Brewster. Gaynes served in the U.S. Navy during World War II before pursuing a career in acting, which spanned over five decades. He passed away on February 15, 2016, in North Bend, Washington, leaving behind a legacy as a versatile character actor in Hollywood.","['University of Helsinki (studied law)', 'Leland Powers School (acting training)']",1917-05-16,2016-02-15,"Helsinki, Finland","North Bend, Washington, United States",male,no,no,yes,no
Art Pepin,https://en.wikipedia.org/wiki/Ernesto_Padilla,no,37.3,,,Found,TRUE,seq=8.3; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Ernesto Padilla is a Cuban-American entrepreneur best known for founding Padilla Cigars, a premium cigar brand established in 2003. Born in Cuba, he initially pursued a career in finance before transitioning into the cigar industry, where he gained recognition for his high-quality, handcrafted products. His company underwent a significant revamp in 2012, expanding its production lines and introducing specialty cigars that catered to connoisseurs. Padilla's contributions have solidified his reputation as a key figure in the modern cigar-making industry, blending traditional Cuban techniques with innovative approaches.",,,,Cuba,not found,male,no,no,no,no
Trooper John C. Hagerty,https://en.wikipedia.org/wiki/John_Kennedy_%28Louisiana_politician%29,no,37,,38,Found,TRUE,seq=8.0; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"John Kennedy is an American politician and lawyer born on November 21, 1951, in Centreville, Mississippi. He has served as the Louisiana State Treasurer (2000–2017) and was elected to the U.S. Senate in 2016, representing Louisiana as a Republican. Known for his fiscal conservatism and folksy communication style, Kennedy has been a prominent figure in Louisiana and national politics. He remains active in the Senate, focusing on issues like government spending, energy policy, and criminal justice reform.","['Vanderbilt University, Bachelor of Arts', 'University of Virginia School of Law, Juris Doctor', 'University of Oxford (Magdalen College), Bachelor of Civil Law']",1951-11-21,,"Centreville, Mississippi, United States",not found,male,no,yes,no,no
Elgin Bayless,https://en.wikipedia.org/wiki/Jimmy_Butler,no,37,,,Found,TRUE,seq=8.0; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Jimmy Butler is an American professional basketball player born on September 14, 1989, in Houston, Texas. Known for his defensive prowess and leadership, he has earned six NBA All-Star selections and five All-NBA Team honors. Butler played college basketball at Tyler Junior College before transferring to Marquette University, where he gained national recognition. He has played for multiple NBA teams, including the Chicago Bulls, Minnesota Timberwolves, Philadelphia 76ers, and Miami Heat, becoming one of the league's elite two-way players.","['Tyler Junior College', ""Marquette University, Bachelor's in Communication Studies""]",1989-09-14,,"Houston, Texas, United States",not found,male,yes,no,no,no
Alvin C. Shands,https://en.wikipedia.org/wiki/Donald_Davidson_%28philosopher%29,no,37,,,Found,TRUE,seq=8.0; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Donald Davidson (1917–2003) was an American philosopher renowned for his influential contributions to the philosophy of mind, language, and action. Born in Springfield, Massachusetts, he developed key theories like anomalous monism, which bridges mental and physical events without reducing one to the other. Davidson also critiqued empiricism's 'third dogma'—the dualism of scheme and content—and introduced thought experiments like the 'Swampman' to explore identity and meaning. His work remains foundational in analytic philosophy, shaping debates on truth, interpretation, and rationality.","['Harvard University, BA in English (summa cum laude)', 'Harvard University, PhD in Philosophy']",1917-03-06,2003-08-30,"Springfield, Massachusetts, United States","Berkeley, California, United States",male,no,no,yes,no
Senator Ruben Mendiola,https://en.wikipedia.org/wiki/Ferdinand_Marcos,no,36.4,,,Found,TRUE,seq=7.4; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Ferdinand Marcos was born on September 11, 1917, in Sarrat, Ilocos Norte, Philippines, and died on September 28, 1989, in Honolulu, Hawaii, USA. He served as the 10th President of the Philippines from 1965 to 1986, a period marked by the declaration of martial law in 1972 and authoritarian rule. Marcos was a lawyer by profession and a World War II veteran, though his military record remains controversial. His presidency ended with the People Power Revolution in 1986, which forced him into exile and cemented his legacy as one of the most divisive figures in Philippine history.","['University of the Philippines (UP), Bachelor of Arts (1939)', 'University of the Philippines College of Law, Bachelor of Laws (1939)']",1917-09-11,1989-09-28,"Sarrat, Ilocos Norte, Philippines","Honolulu, Hawaii, USA",male,yes,yes,yes,no
