name,original_designation,county,wikipedia_url,status,match_confidence,validated,validation_notes,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
"E. Clay Shaw, Jr","E. Clay Shaw, Jr., Bridge",Broward,https://en.wikipedia.org/wiki/Clay_Shaw_%28politician%29,Found,55.4,true,seq=14.4; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Clay Shaw was an American politician born on April 16, 1939, who served as a Republican member of the U.S. House of Representatives from Florida. He represented Florida's 22nd congressional district from 1981 to 1993 and was known for his conservative stance on fiscal and social issues. Prior to his congressional career, Shaw practiced law and was active in Fort Lauderdale local politics, including serving on the city commission. He passed away on September 10, 2013, leaving a legacy as a prominent Florida conservative leader.","['University of Florida, B.A. (1961)', 'University of Florida College of Law, J.D. (1963)']",1939-04-16,2013-09-10,"Miami, Florida, United States","Fort Lauderdale, Florida, United States",male,no,yes,no,no
J. D. Butler,J. D. Butler Bridge,Broward,https://en.wikipedia.org/wiki/Aaliyah_Butler,Found,32.8,true,seq=10.8; fl:+10; county:+8,"Aaliyah Butler is an American track and field athlete specializing in sprinting events. Born in 2005, she gained prominence as a rising star in the 100-meter and 200-meter races. In 2024, she set a world U20 record in the women's 200 meters with a time of 21.78 seconds at the US Olympic Trials. Her achievements mark her as one of the most promising young sprinters in the United States.",,2005-01-01,,not found,not found,female,yes,no,no,no
Pembroke Park,Pembroke Park Boulevard,Broward,https://en.wikipedia.org/wiki/Barbara_Sharief,Found,63.0,true,seq=4.3; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5,"Barbara Sharief is an American politician and former nurse born in 1973. She gained prominence as the first African-American woman to serve as Mayor of Miramar, Florida, holding the position from 2013 to 2021. Prior to her political career, she worked as a registered nurse and healthcare administrator, founding a home healthcare agency. Sharief also served as a Broward County Commissioner from 2010 to 2022, focusing on community development and public service.","['Broward Community College, Associate of Science in Nursing', 'Nova Southeastern University, Bachelor of Science in Nursing', 'Nova Southeastern University, Master of Business Administration (MBA)']",1973-01-01,,"Miami, Florida, United States of America",not found,female,no,yes,no,no
S. C. Fox,S. C. Fox Memorial Bridge,Broward,https://en.wikipedia.org/wiki/Sunrise%2C_Florida,Found,23.4,true,seq=6.4; last-mismatch:-4; fl:+10; county:+8; us:+5,"Sunrise is a city located in Broward County, Florida, United States. Originally incorporated in 1961 as 'Sunrise Golf Village,' it was renamed to Sunrise in 1971 following a period of rapid growth. The city gained notoriety in 2010 when it temporarily disappeared from Google Maps due to a mapping error, sparking national attention. Today, Sunrise is known for its diverse population, family-friendly neighborhoods, and the BB&T Center, a major entertainment and sports venue.",,,,not found,not found,not found,no,no,no,no
The Barefoot Mailman,The Barefoot Mailman Memorial Bridge,Broward,https://en.wikipedia.org/wiki/Harvey_Eugene_Oyer_III,Found,47.0,true,seq=5.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Harvey Eugene Oyer III is an American attorney, author, and public speaker born in 1953. He served in the U.S. Army as a paratrooper and later practiced law, specializing in environmental and land-use litigation. Oyer is also known for his historical writings, particularly on Florida's pioneer era, and his work as a motivational speaker. His contributions span military service, legal practice, and cultural preservation efforts in Florida.","['University of Florida, B.A. (1975)', 'University of Florida Levin College of Law, J.D. (1978)']",1953-01-01,,"West Palm Beach, Florida, United States",not found,male,no,no,yes,no
Trooper Donald Earl Jennings,Trooper Donald Earl Jennings Highway,Broward,https://en.wikipedia.org/wiki/Bill_Clinton,Found,42.0,true,seq=3.0; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5,"William Jefferson Clinton, born August 19, 1946, is an American politician who served as the 42nd President of the United States from 1993 to 2001. Prior to his presidency, he was the Governor of Arkansas (1979–1981, 1983–1992) and Attorney General of Arkansas (1977–1979). Clinton is known for overseeing economic prosperity, the North American Free Trade Agreement (NAFTA), and welfare reform, though his presidency was also marked by the Monica Lewinsky scandal and impeachment. As of 2024, he remains active in public life through the Clinton Foundation and global humanitarian efforts.","['Georgetown University, Bachelor of Science in Foreign Service (BSFS)', 'University of Oxford (Rhodes Scholar, attended but did not complete a degree)', 'Yale Law School, Juris Doctor (JD)']",1946-08-19,,"Hope, Arkansas, United States of America",not found,male,yes,yes,no,yes
Trooper Stephen G. Rouse,Trooper Stephen G. Rouse Memorial Highway,Broward,https://en.wikipedia.org/wiki/Marie_Foster,Found,37.7,true,seq=6.7; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8,"Marie Foster was a prominent civil rights activist born on April 27, 1917, in McGehee, Arkansas, USA. She played a pivotal role in the American Civil Rights Movement, particularly in voter registration drives and grassroots organizing in Selma, Alabama. Known as a 'foot soldier' of the movement, Foster delivered a powerful speech at the First Baptist Church in 1963 and participated in key marches. She passed away on September 2, 2003, leaving a legacy as a fearless advocate for racial equality and voting rights.",,1917-04-27,2003-09-02,"McGehee, Arkansas, USA","Selma, Alabama, USA",female,no,yes,no,no
West Park,West Park Boulevard,Broward,https://en.wikipedia.org/wiki/West_Park%2C_Florida,Found,38.3,true,seq=13.3; last-mismatch:-4; fl:+10; county:+8; us:+5,"West Park is a city located in Broward County, Florida, United States. Incorporated in 2005, it was created from unincorporated areas near Pembroke Pines and Hollywood. The city is known for its diverse population and suburban development, serving as a residential hub in South Florida. West Park has grown rapidly, reflecting broader demographic and economic trends in the region.",,,,not found,not found,not found,no,no,no,no
Alma Lee Loy,Alma Lee Loy Bridge,Indian River,https://en.wikipedia.org/wiki/Althea_Gibson,Found,49.0,true,seq=8.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Althea Gibson was born on August 25, 1927, and died on September 28, 2003. She was a pioneering African American tennis player who broke racial barriers by becoming the first Black athlete to compete in and win a Grand Slam title (the 1956 French Championships). Gibson dominated women’s tennis in the late 1950s, winning 11 major titles, including Wimbledon and the U.S. Nationals (now the US Open) in 1957 and 1958. Her achievements paved the way for future generations of Black athletes in tennis and beyond, cementing her legacy as a trailblazer in sports history.","['Florida A&M University', ""Bachelor's degree in Physical Education (1953)"", 'Wilberforce University (brief attendance)']",1927-08-25,2003-09-28,"Clarendon County, South Carolina, USA","East Orange, New Jersey, USA",female,yes,no,no,no
James H. Pruitt,James H. Pruitt Memorial Bridge,Indian River,https://en.wikipedia.org/wiki/Gary_B._Pruitt,Found,19.8,true,seq=13.8; fl:+10; county-miss:-8,"Gary B. Pruitt is an American media executive best known for serving as the President and CEO of The McClatchy Company, a prominent newspaper publishing firm, from 1996 to 2012. Under his leadership, McClatchy expanded significantly, acquiring the Knight Ridder newspaper chain in 2006, which included major publications like The Miami Herald and The Kansas City Star. Born in the mid-20th century, Pruitt earned a law degree and built a career in journalism and media management, becoming a key figure in the industry during its digital transformation. His tenure was marked by both growth and challenges as traditional print media faced declining revenues and shifting consumer habits.","['University of California, Berkeley, Bachelor of Arts', 'University of California, Berkeley, School of Law, Juris Doctor']",1957-01-01,,not found,not found,male,no,no,no,no
Merrill P. Barber,Merrill P. Barber Bridge,Indian River,https://en.wikipedia.org/wiki/Merrill_P._Barber,Found,42.0,true,seq=20.0; human:+40; fl-miss:-10; county-miss:-8,"Merrill P. Barber was an American politician and military officer. He served as the 19th Governor of Nevada from 1938 to 1945, during a period marked by the Great Depression and World War II. Barber was a member of the Democratic Party and played a significant role in Nevada's political landscape during his tenure. His legacy includes contributions to the state's economic development and wartime efforts, though specific birth and death dates are not widely documented in the provided content.",,,,not found,not found,male,no,yes,yes,no
Richard Raczkoski,Richard Raczkoski Memorial Highway,Indian River,https://en.wikipedia.org/wiki/Florida_State_Road_60,Found,0.0,true,seq=6.3; last-mismatch:-4; fl:+10; county-miss:-8; nonperson:-15,"Florida State Road 60 (SR 60) is a major east–west highway spanning across the central region of Florida, USA. It stretches approximately 260 miles (420 km) from Clearwater on the Gulf Coast to Vero Beach on the Atlantic Coast, passing through key cities like Tampa, Brandon, and Lake Wales. The road serves as a critical transportation corridor, connecting urban centers, agricultural regions, and tourist destinations. Established as part of Florida's state highway system, it plays a significant role in the state's infrastructure and economic development.",,,,not found,not found,not found,no,no,no,no
Robert C. Spillman,Robert C. Spillman Memorial Highway,Indian River,https://en.wikipedia.org/wiki/Robert_Stone_%28novelist%29,Found,36.0,true,seq=12.0; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8,"Robert Stone was an American novelist born on August 21, 1937, and passed away on January 10, 2015. Known for his literary works exploring counterculture, war, and existential themes, he gained acclaim for novels like Dog Soldiers (1974), which won the National Book Award for Fiction. Stone served in the U.S. Navy and later became a prominent figure in 20th-century American literature, often drawing from his experiences in Vietnam and the 1960s. His contributions cemented his legacy as a critical voice in modern fiction, blending gritty realism with philosophical depth.","['New York University (attended, no degree)', 'Stanford University (Stegner Fellowship)']",1937-08-21,2015-01-10,"Brooklyn, New York, United States","Key West, Florida, United States",male,no,no,yes,no
Robert W. Graves,Robert W. Graves Bridge,Indian River,https://en.wikipedia.org/wiki/Ray_Graves,Found,18.3,true,seq=12.3; fl:+10; county-miss:-8,"Ray Graves (1918–2015) was an American college basketball player and coach best known for his tenure at the University of Florida. Born in Tennessee, he played professionally in the NBL before transitioning to coaching, where he achieved significant success as head coach of the Florida Gators from 1949 to 1960. Graves later served as the university's athletic director, leaving a lasting impact on its sports programs. His contributions to basketball earned him induction into multiple halls of fame, including the University of Florida Athletic Hall of Fame.","[""University of Tennessee, Bachelor's Degree"", ""University of Tennessee, Master's Degree""]",1918-01-31,2015-07-10,"Corryton, Tennessee, United States","Gainesville, Florida, United States",male,yes,no,no,no
A. O. Kanner,A. O. Kanner Highway,Martin,https://en.wikipedia.org/wiki/Anthony_W._Young,Found,43.1,true,seq=7.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8,"Anthony W. Young was an American political figure known for his early career contributions. His exact birth and death dates are not widely documented, but he gained recognition through his involvement in local or regional governance. Young's professional focus centered on public service and political leadership during his active years. While specific achievements remain less prominent in historical records, his role reflects the broader landscape of political engagement in his era.",,,,not found,not found,male,no,yes,no,no
Big John Monahan,Big John Monahan Bridge,Martin,https://en.wikipedia.org/wiki/Regis_Monahan,Found,3.4,true,seq=12.4; fl-miss:-10; county-miss:-8; us:+5,"Regis Monahan was an American basketball player known for his collegiate and professional career. He played college basketball at an unspecified institution before transitioning to professional leagues. Monahan's professional career included notable contributions to basketball during his active years. While specific birth and death dates are not widely documented, his legacy remains tied to the sport's history in the United States.",['not found'],,,not found,not found,male,yes,no,no,no
Ernest F. Lyons,Ernest F. Lyons Bridge,Martin,https://en.wikipedia.org/wiki/2013_Florida_State_Seminoles_football_team,Found,7.0,true,seq=4.9; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,"The 2013 Florida State Seminoles football team represented Florida State University during the 2013 NCAA Division I FBS football season. Coached by Jimbo Fisher, the team achieved a perfect 14-0 record and won the BCS National Championship by defeating Auburn 34-31 in the 2014 BCS National Championship Game. This season marked their third national title in program history and featured standout performances from Heisman Trophy-winning quarterback Jameis Winston. The team's dominance revitalized Florida State's reputation as a college football powerhouse during the early 2010s.",['Florida State University'],,,not found,not found,not found,yes,no,no,no
"Evans Crary, Sr","Evans Crary, Sr., Bridge",Martin,https://en.wikipedia.org/wiki/Henry_Cabot_Lodge,Found,48.5,true,seq=7.5; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Henry Cabot Lodge was born on May 12, 1850, in Boston, Massachusetts, and died on November 9, 1924, in Cambridge, Massachusetts. He was a prominent American Republican politician, historian, and statesman who served as a U.S. Senator from Massachusetts for over three decades (1893–1924). Lodge is best known for his role in advocating for U.S. imperialism during the Spanish–American War, his leadership in the Alaska Boundary Dispute, and his staunch opposition to the League of Nations, which shaped American foreign policy in the early 20th century. As a respected historian, he also authored biographies of notable figures like George Washington and Daniel Webster, cementing his legacy as both a scholar and a political leader.","['Harvard College, A.B. (1871)', 'Harvard Law School, LL.B. (1874)', 'Harvard University, Ph.D. in History (1876)']",1850-05-12,1924-11-09,"Boston, Massachusetts, United States","Cambridge, Massachusetts, United States",male,no,yes,yes,no
Frank A. Wacha,Frank A. Wacha Bridge,Martin,https://en.wikipedia.org/wiki/F._P._Santangelo,Found,27.0,true,seq=5.3; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,"F. P. Santangelo is a former American professional baseball player born on November 10, 1967, in Hollywood, California. He played in Major League Baseball (MLB) as an outfielder for teams like the Montreal Expos and San Francisco Giants from 1995 to 2001. After retiring, he transitioned into a broadcasting career, working as a color commentator for the Washington Nationals. Santangelo was also named in the 2007 Mitchell Report for alleged performance-enhancing drug use during his playing career.",,1967-11-10,,"Hollywood, California, United States",not found,male,yes,no,no,no
Palm City,Palm City Bridge,Martin,https://en.wikipedia.org/wiki/Percy_Wood,Found,42.0,true,seq=4.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8,"Percy Wood was a British artist and illustrator known for his contributions to book illustrations and graphic design. Born in 1889, he gained recognition for his work during the early to mid-20th century, particularly in the Art Deco style. Wood was also involved in creating posters and advertisements, reflecting the cultural and artistic trends of his time. He passed away in 1971, leaving behind a legacy in the field of visual arts.",,1889-01-01,1971-01-01,not found,not found,male,no,no,no,no
Dan McCarty,Dan McCarty Memorial Highway,Multiple Counties,https://en.wikipedia.org/wiki/Daniel_T._McCarty,Found,66.7,true,seq=15.7; human:+40; fl:+10; county-miss:-8; us:+5,"Daniel T. McCarty was born on December 24, 1912, in Fort Pierce, Florida, and died in office on September 28, 1953. He served as the 31st Governor of Florida from 1953 until his death, succeeding Fuller Warren after a contentious election. A Democrat, McCarty was known for his progressive policies, including education reform and infrastructure development during Florida's post-war growth. His sudden death at age 40 cut short a promising political career, leaving a legacy as one of Florida’s youngest governors.","['University of Florida, Bachelor of Science in Agriculture, 1936', 'University of Florida College of Law, Bachelor of Laws, 1938']",1912-12-24,1953-09-28,"Fort Pierce, Florida, United States","Tallahassee, Florida, United States",male,no,yes,yes,no
Stan Mayfield,Stan Mayfield Memorial Highway,Multiple Counties,https://en.wikipedia.org/wiki/Stan_McClain,Found,21.8,true,seq=12.8; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,"Stan McClain is an American college basketball coach currently serving as the head coach for the Georgia Bulldogs men's basketball team. Born in the United States, he has built a career primarily in collegiate athletics, known for his coaching strategies and player development. Before Georgia, he held assistant coaching positions at several prominent programs, contributing to team successes and player advancements. His tenure reflects a commitment to basketball excellence and mentorship within NCAA Division I programs.",,,,not found,not found,male,yes,no,no,no
Thomas E. Will,Thomas E. Will Memorial Highway,Multiple Counties,https://en.wikipedia.org/wiki/Thomas_Armstrong_%28Florida_politician%29,Found,18.3,true,seq=9.3; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,"Thomas Armstrong was a Florida politician who served in the Florida House of Representatives during the mid-20th century. Known for his contributions to local governance, he played a role in shaping policies that impacted the state's development. His political career reflects the broader trends of Florida's growth and legislative changes during his time. Specific birth and death dates, as well as detailed biographical milestones, remain undocumented in available sources.",,,,not found,not found,male,no,yes,no,no
Ben Sunday,Ben Sunday Memorial Highway,Palm Beach,https://en.wikipedia.org/wiki/Fox_NFL_Sunday,Found,19.3,true,seq=13.3; fl:+10; county-miss:-8,"The provided content describes Fox NFL Sunday, a long-running American television program that serves as the pre-game show for the National Football League (NFL) broadcasts on the Fox network. Launched in 1994, it became known for its lively panel discussions, expert analysis, and comedic segments featuring hosts like Terry Bradshaw, Howie Long, and Jimmy Johnson. The show has evolved over the decades, adapting to changes in NFL coverage, technology, and on-air talent while maintaining its status as a staple of Sunday football culture. It remains one of the most popular NFL pre-game shows, influencing sports broadcasting with its blend of humor, insights, and fan engagement.",,,,not found,not found,not found,yes,no,no,no
Carlin White,Carlin White Bridge,Palm Beach,https://en.wikipedia.org/wiki/International_Bowl,Found,7.0,true,seq=5.3; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,"The International Bowl was an annual American college football postseason bowl game held from 2007 to 2010. It featured teams from the Mid-American Conference (MAC) against international opponents, primarily from Canada. The game was played at the Rogers Centre in Toronto, Ontario, and aimed to promote cross-border athletic competition. It was discontinued after its 2010 edition due to financial and logistical challenges.",,,,not found,not found,not found,yes,no,no,no
Glynn Mayo,Glynn Mayo Highway,Palm Beach,https://en.wikipedia.org/wiki/Glynn_Davis,Found,2.3,true,seq=13.3; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,"Glynn Davis was an American professional baseball player known for his career in the early 20th century. He began as an amateur athlete before joining the Baltimore Orioles in Major League Baseball. Though details about his birth and death dates are scarce, his contributions to baseball remain noted in sports history. Davis is primarily remembered for his role as an outfielder during his time with the Orioles.",,,,not found,not found,male,yes,no,no,no
Haven M. Ashe,Haven M. Ashe Bridge,Palm Beach,https://en.wikipedia.org/wiki/John_Ashley_%28bandit%29,Found,68.7,true,seq=11.7; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5,"John Ashley was an American outlaw and bank robber born in 1895, known for leading the infamous Ashley Gang during the early 20th century. Active primarily in Florida, he gained notoriety for a series of bank heists, prison escapes, and his association with Laura Upthegrove, dubbed the 'Queen of the Everglades.' His criminal career included piracy, murder, and a violent feud with law enforcement, culminating in his death in 1924 during a police ambush. Ashley remains a legendary figure in Florida's outlaw history, symbolizing the era's lawlessness and rebellion against authority.",,1895-01-01,1924-11-01,not found,"Sebring, Florida, United States",male,no,no,no,no
Jack L. Saunders,Jack L. Saunders Bridge,Palm Beach,https://en.wikipedia.org/wiki/Jack_Petersen_%28guitarist%29,Found,15.0,true,seq=11.0; last-mismatch:-4; fl:+10; county-miss:-8,"Jack Petersen is an American guitarist, composer, and educator known for his innovative contributions to guitar pedagogy and performance. Born in the mid-20th century, he developed the Guitar Lab concept, which revolutionized guitar instruction through structured, interactive learning. Petersen has released numerous albums, compositions, and educational publications, establishing himself as a prominent figure in contemporary guitar education. His work spans jazz, classical, and experimental genres, influencing generations of musicians worldwide.",,,,not found,not found,male,no,no,no,yes
Jerry Thomas,Jerry Thomas Memorial Bridge,Palm Beach,https://en.wikipedia.org/wiki/Jerry_Thomas_%28Florida_politician%29,Found,27.0,true,seq=20.0; fl:+10; county-miss:-8; us:+5,"Jerry Thomas was a Florida politician known for his service in the Florida House of Representatives. Born in the mid-20th century, he represented parts of the state during his political career, though specific dates of birth and death are not widely documented. His tenure included advocacy for local issues and legislative work, though detailed records of his achievements remain limited. Thomas's contributions primarily lie within Florida's political landscape during his active years.",,,,not found,not found,male,no,yes,no,no
L. E. Buie,L. E. Buie Memorial Bridge,Palm Beach,https://en.wikipedia.org/wiki/J._Rex_Farrior,Found,4.3,true,seq=8.3; last-mismatch:-4; fl:+10; county-miss:-8,"J. Rex Farrior was an American football player and coach who played as a guard for the University of Florida Gators in the early 1920s. After his playing career, he served as an assistant coach at both Gainesville High School and the University of Florida, contributing to the team's success, including their 1928 Cigar Bowl appearance. Farrior later transitioned into a career in law, establishing himself as a practicing attorney. His legacy is tied to both athletics and legal professions in Florida during the early to mid-20th century.","['University of Florida', 'Law Degree (assumed based on law practice)']",,,not found,not found,male,yes,no,no,no
North Ocean,North Ocean Boulevard,Palm Beach,https://en.wikipedia.org/wiki/Vero_Beach%2C_Florida,Found,18.0,true,seq=4.0; last-mismatch:-4; fl:+10; county:+8,"This content describes Vero Beach, a city in Florida, rather than a biographical subject. The area has a rich history dating back to Pre-Columbian times and later European settlement. Known for its coastal geography and subtropical climate, Vero Beach plays a role in Florida's economy through industries like citrus production and tourism. The provided text does not pertain to an individual’s life, achievements, or personal details.",,,,not found,not found,not found,no,no,no,no
Purple Heart,Purple Heart Highway,Palm Beach,https://en.wikipedia.org/wiki/Purple_Hearts_%282022_film%29,Found,7.0,true,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,"'Purple Hearts' is a 2022 American romantic musical drama film directed by Elizabeth Allen Rosenbaum. The story follows a struggling singer-songwriter and a Marine who enter a marriage of convenience, only to develop genuine feelings. The film features original music and explores themes of love, duty, and personal sacrifice. It premiered on Netflix and received mixed reviews for its portrayal of military life and romance.",,,,not found,not found,not found,no,no,yes,yes
Richard Jason Randolph,Richard Jason Randolph Memorial Bridge,Palm Beach,https://en.wikipedia.org/wiki/Randolph_Bracy,Found,49.9,true,seq=8.9; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Randolph Bracy is an American politician and attorney born in 1978. He has served in the Florida House of Representatives and the Florida Senate, representing the Democratic Party. Known for his advocacy on criminal justice reform and education, Bracy ran for Congress in 2022 but was unsuccessful. His career reflects a commitment to public service and progressive policy initiatives in Florida politics.","[""Florida Agricultural and Mechanical University (FAMU), Bachelor's Degree"", 'Florida State University College of Law, Juris Doctor (JD)']",1978-01-01,,not found,not found,male,no,yes,no,no
Robert A. Harris,Robert A. Harris Bridge,Palm Beach,https://en.wikipedia.org/wiki/Katherine_Harris,Found,22.2,true,seq=11.2; fl:+10; county-miss:-8; us:+5,"Katherine Harris was born on April 5, 1957, and is an American politician best known for her role as Florida Secretary of State during the controversial 2000 U.S. presidential election recount. She served in the Florida Senate from 1994 to 1998 before becoming Secretary of State, a position she held until 2003. Harris later ran for the U.S. House of Representatives in 2006, winning a seat as a Republican and serving until 2007. Her political career was marked by both significant influence and controversy, particularly in election administration and partisan debates.","['Agnes Scott College, BA (1979)', 'Harvard University, Kennedy School of Government (1997)']",1957-04-05,,"Key West, Florida, United States",not found,female,no,yes,no,no
Peter P. Cobb,Peter P. Cobb Bridge,St. Lucie,https://en.wikipedia.org/wiki/Peter_Camejo,Found,16.8,true,seq=12.8; last-mismatch:-4; fl:+10; county-miss:-8,"Peter Camejo was born on December 31, 1939, and passed away on September 13, 2008. He was an American businessman, political activist, and environmentalist best known for his progressive political campaigns in California. Camejo ran for governor of California three times (2002, 2003 recall, and 2006) as a Green Party candidate and was Ralph Nader’s vice-presidential running mate in the 2004 U.S. election. His advocacy for social justice, sustainability, and corporate accountability left a lasting impact on progressive politics in the United States.","['Massachusetts Institute of Technology (MIT)', 'Bachelor of Science in Engineering']",1939-12-31,2008-09-13,"New York City, New York, United States","Folsom, California, United States",male,no,yes,no,no
C. Sweet Smith,C. Sweet Smith Memorial Highway,Brevard,https://en.wikipedia.org/wiki/Emmitt_Smith,Found,23.3,true,seq=12.3; fl:+10; county-miss:-8; us:+5,"Emmitt Smith was born on May 15, 1969, in Pensacola, Florida, USA. He is a former professional American football running back who played 15 seasons in the NFL, primarily with the Dallas Cowboys. Smith holds the NFL record for most career rushing yards (18,355) and rushing touchdowns (164), earning him three Super Bowl championships and induction into the Pro Football Hall of Fame in 2010. His contributions to football cemented his legacy as one of the greatest running backs in NFL history.","['Escambia High School', 'University of Florida']",1969-05-15,,"Pensacola, Florida, United States",not found,male,yes,no,no,no
W. J. Creel,Dr. W. J. Creel Bridge,Brevard,https://en.wikipedia.org/wiki/William_Jackson_Creel,Found,57.2,true,seq=11.2; human:+40; fl:+10; county-miss:-8,"William Jackson Creel was a notable figure whose specific life details are not provided in the available content. No birth or death dates, profession, or notable achievements are mentioned in the extracted information. The Wikipedia page lacks substantial biographical data, making it difficult to assess his historical significance. Further research would be required to provide a comprehensive summary of his life and contributions.",,,,not found,not found,male,no,no,no,no
Ernest Kouwen‐Hoven,Ernest Kouwen‐Hoven Bridge,Brevard,https://en.wikipedia.org/wiki/Ernest_Kouwen-Hoven,Found,67.0,true,seq=18.9; human:+40; fl:+10; county-miss:-8; us:+5,"Ernest Kouwen-Hoven was a Dutch fencer who competed in the early 20th century. He participated in the 1928 Summer Olympics held in Amsterdam, representing the Netherlands in the team épée event. Though his exact birth and death dates are not widely documented, his involvement in fencing marked him as a notable athlete of his time. Kouwen-Hoven's contributions to Dutch fencing remain a part of the country's Olympic history.",,,,not found,not found,male,yes,no,no,no
Hubert Humphrey,Hubert Humphrey Bridge,Brevard,https://en.wikipedia.org/wiki/Hubert_Humphrey_%28businessman%29,Found,47.0,true,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Hubert Humphrey (1911–1978) was an American businessman best known for his career as a railroad conductor and later as a prominent figure in the insurance industry. He worked extensively with A.L. Williams/Primerica, contributing to its growth during the late 20th century. Though sharing a name with the famous politician Hubert H. Humphrey, this businessman had no direct political involvement. His professional legacy lies primarily in his long-standing career in transportation and insurance sectors.",,1911-01-01,1978-01-01,not found,not found,male,no,no,no,no
Max K. Rodes,Max K. Rodes Bridge and Causeway,Brevard,https://en.wikipedia.org/wiki/John_F._Kelly,Found,47.0,true,seq=4.8; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"John F. Kelly is a retired United States Marine Corps general born on May 11, 1950, in Boston, Massachusetts. He served as White House Chief of Staff from 2017 to 2019 under President Donald Trump after leading the Department of Homeland Security as Secretary from 2017. His military career spanned over four decades, including command roles in Iraq and as commander of U.S. Southern Command. Kelly is recognized for his leadership in national security and defense policy during his tenure in both military and political roles.","['University of Massachusetts Boston, Bachelor of Arts in Political Science', 'Georgetown University, Master of Science in National Security Studies']",1950-05-11,,"Boston, Massachusetts, United States",not found,male,no,yes,yes,no
Purple Heart,Purple Heart Highway,Brevard,https://en.wikipedia.org/wiki/Lawrence_N._Guarino,Found,18.5,true,seq=6.5; last-mismatch:-4; fl:+10; county:+8,"Lawrence N. Guarino was a distinguished United States Air Force officer known for his heroic actions during the Vietnam War. He received the Air Force Cross, the second-highest military decoration for valor, for his extraordinary heroism in a combat mission on April 24, 1967. Guarino served as a pilot and demonstrated exceptional bravery under enemy fire, contributing significantly to military aviation history. His legacy endures as a symbol of courage and dedication in the U.S. Air Force.",,,,not found,not found,male,no,no,yes,no
Robert W. Graves,Robert W. Graves Bridge,Brevard,https://en.wikipedia.org/wiki/Windover_Archeological_Site,Found,23.0,true,seq=4.7; last-mismatch:-4; fl:+10; county:+8; us:+5,"The Windover Archaeological Site is a prehistoric burial ground discovered in 1982 near Titusville, Florida, dating back to the Early Archaic period (6000–5000 BCE). It contains 168 well-preserved human skeletons submerged in peat, offering rare insights into early Native American life, including DNA, textiles, and brain tissue. The site is notable for its water burials and artifacts like woven fabrics, suggesting advanced cultural practices for the era. Its significance lies in reshaping understanding of early human settlement and mortuary customs in North America.",,,,not found,not found,not found,no,no,no,no
U.S. Army Sergeant Robert Daniel Sanchez,U.S. Army Sergeant Robert Daniel Sanchez Memorial Highway,Brevard,https://en.wikipedia.org/wiki/Fulgencio_Batista,Found,62.0,true,seq=3.5; last-mismatch:-4; human:+40; mil:+15; fl:+10; county-miss:-8; us:+5,"Fulgencio Batista was a Cuban military officer and politician born on January 16, 1901, who served as the elected president of Cuba from 1940 to 1944. He later seized power through a military coup in 1952, ruling as a dictator until his overthrow in the Cuban Revolution of 1959. Known for his authoritarian regime, Batista maintained close ties with organized crime and U.S. business interests while suppressing political opposition. He died in exile in Spain on August 6, 1973, leaving a controversial legacy in Cuban history.","['American Truxtun Academy (now defunct), brief attendance', 'Self-taught in military strategy and stenography']",1901-01-16,1973-08-06,"Banes, Oriente Province, Cuba","Marbella, Málaga, Spain",male,no,yes,yes,no
U.S. Marine Corps Corporal Dustin Schrage,U.S. Marine Corps Corporal Dustin Schrage Highway,Brevard,Not Found,Not Found,0.0,false,no-candidates,,,,,,,,,,,
