name,original_designation,county,candidate_title,match_confidence,validation_notes
Max K. Rodes,Max K. Rodes Bridge and Causeway,Brevard,Max Verstappen,38.2,seq=9.2; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Purple Heart,Purple Heart Highway,Brevard,Danny McKnight,63.0,seq=4.6; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
Robert W. Graves,Robert W. Graves Bridge,Brevard,Ray Graves,63.3,seq=12.3; human:+40; fl:+10; county-miss:-8; us:+5
U.S. Army Sergeant Robert Daniel Sanchez,U.S. Army Sergeant Robert Daniel Sanchez Memorial Highway,Brevard,Cory Mills,62.0,seq=3.2; last-mismatch:-4; human:+40; mil:+15; fl:+10; county-miss:-8; us:+5
U.S. Marine Corps Corporal Dustin Schrage,U.S. Marine Corps Corporal Dustin Schrage Highway,Brevard,,0.0,no-candidates
Willard Peebles,Willard Peebles Bridge,Brevard,Ellis Spear,27.2,seq=6.2; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
A. Slater Cox,A. Slater Cox Bridge,Lake,Slater Martin,47.8,seq=10.8; last-mismatch:-4; human:+40; fl-miss:-10; county:+8; us:+5
Wayne Koester,Deputy Wayne Koester Memorial Highway,Lake,2021 deaths in the United States (January–June),2.0,seq=5.3; last-mismatch:-4; le:+15; fl-miss:-10; county-miss:-8; us:+5
Johnny C. Treadwell,Johnny C. Treadwell Memorial Highway,Lake,Johnny Treadwell,47.0,seq=18.3; human:+40; fl-miss:-10; county-miss:-8; us:+5
Claude A. Gnann,Major Claude A. Gnann Memorial Highway,Lake,List of works about Rembrandt,0.0,seq=5.5; last-mismatch:-4; fl-miss:-10; county-miss:-8; nobility:-40
McTureous,"Private Robert M. McTureous, Jr., U.S.M.C., Medal of Honor Memorial Highway",Lake,"Umatilla, Florida",23.0,seq=4.6; last-mismatch:-4; fl:+10; county:+8; us:+5
Sgt. Frederico G. Borjas,Sgt. Frederico G. Borjas Memorial Highway,Lake,,0.0,no-candidates
Angela Simone Santos,Angela Simone Santos Memorial Highway,Marion,Olga Guillot,43.5,seq=7.5; last-mismatch:-4; human:+40; fl:+10; county-miss:-8
John M. Haile,Dr. John M. Haile Memorial Boulevard,Marion,John Smith (explorer),41.2,seq=12.2; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
James C. Cunningham,James C. Cunningham Memorial Highway,Marion,Joe Cunningham (American politician),66.8,seq=15.8; human:+40; fl:+10; county-miss:-8; us:+5
Jane Yongue Wood,Jane Yongue Wood Memorial Highway,Marion,When Lilacs Last in the Dooryard Bloom'd,0.0,seq=5.0; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5
Judge William T. Swigert,Judge William T. Swigert Bridge,Marion,Mark Kelly,27.0,seq=3.5; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Leon B. Thrasher,Leon B. Thrasher Highway,Marion,William Sherman Jennings,63.0,seq=6.0; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
Robert T. Heagy,"Lt. Colonel Robert T. Heagy, Jr., Memorial Highway",Marion,Bud Beardmore,27.0,seq=5.7; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Mike Stavola,Mike Stavola Highway,Marion,Mike Alexander (racing driver),41.3,seq=12.3; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Nathan Mayo,Nathan Mayo Highway,Marion,Nathan Mayo,67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
Otis Beckford,Otis Beckford Memorial Highway,Marion,Linda Drane Burdick,42.2,seq=6.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8
Rainbow Springs,Rainbow Springs Boulevard,Marion,Rainbow Springs,43.0,seq=20.0; fl:+10; county:+8; us:+5
"Reverend Frank George Pinkston, Sr","Reverend Frank George Pinkston, Sr., Memorial Highway",Marion,List of people from Mississippi,0.0,seq=4.9; last-mismatch:-4; fl-miss:-10; county-miss:-8; nobility:-40
Wallace E. Sturgis,Wallace E. Sturgis Memorial Highway,Marion,Wallace E. Sturgis,67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
Willard Ayres,Willard Ayres Bridge,Marion,Ellis Spear,47.7,seq=6.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
William Hamilton Rutherford,William Hamilton Rutherford Memorial Highway,Marion,Hamilton Disston,51.2,seq=10.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
William V. Chappell,"William V. Chappell, Jr. Memorial Highway",Marion,William Sherman Jennings,74.3,seq=9.3; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
Campbell Thornal,Campbell Thornal Highway,Multiple Counties,B. Campbell Thornal,62.0,seq=18.3; human:+40; fl:+10; county-miss:-8
Carl G. Rose,Carl G. Rose Highway,Multiple Counties,Carl G. Holmes,44.4,seq=15.4; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Central Florida Greene,Central Florida GreeneWay,Multiple Counties,Addie L. Greene,30.7,seq=9.7; human:+40; fl:+10; county-miss:-8; roman:-25
Dana F. Fuquay,Dana F. Fuquay Boulevard,Multiple Counties,2025 North Carolina Tar Heels football team,0.0,seq=4.9; last-mismatch:-4; fl-miss:-10; county-miss:-8
Francis L. Dade,Francis L. Dade Memorial Highway,Multiple Counties,Francis Suarez,62.8,seq=13.8; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Howard E. Futch,Howard E. Futch Memorial Highway,Multiple Counties,Charles H. Bronson,48.3,seq=7.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Irlo Bronson,Irlo Bronson Memorial Highway,Multiple Counties,Irlo Bronson Sr.,66.1,seq=17.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Kennedy Space Center,Kennedy Space Center Highway,Multiple Counties,Kennedy Space Center,27.0,seq=20.0; fl:+10; county-miss:-8; us:+5
Rosa Parks,Rosa Parks Memorial Highway,Multiple Counties,Rosa Parks,47.0,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5
Sanlando Springs,Sanlando Springs Drive,Multiple Counties,"Sanlando Springs, Florida",24.6,seq=15.6; last-mismatch:-4; fl:+10; county-miss:-8; us:+5
Anelie Cadet,Anelie Cadet Way,Orange,,0.0,no-candidates
"Edward Daniel Davis, Sr","Edward Daniel Davis, Sr., Memorial Highway",Orange,Daniel James Jr.,32.3,seq=11.3; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Fred N. Dunn,"Fred N. Dunn, Sr. Highway",Orange,Fred Armisen,39.0,seq=10.0; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Martin L. King,"Martin L. King, Jr., Drive",Orange,Martin Luther King Jr.,43.4,seq=14.4; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
William B. McGee,William B. McGee Highway,Orange,Billy Napier,56.1,seq=7.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Robert Guevara,Robert Guevara Memorial Highway,Osceola,Che Guevara,45.4,seq=14.4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Hamilton Disston,Hamilton Disston Bridge,Polk,Hamilton Disston,67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
George C. Means,George C. Means Memorial Bridge,Seminole,Osceola,63.0,seq=5.5; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
Sidney O. Chase,"Sidney O. Chase, Jr. Overpass",Seminole,Sidney Poitier,61.4,seq=12.4; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
William A. Kratzert,"William A. Kratzert, Sr. Highway",Seminole,Billy Kratzert,47.0,seq=14.5; human:+40; fl-miss:-10; county-miss:-8; us:+5
W. H. Boswell,W. H. Boswell Bridge,Sumter,John Boswell,45.4,seq=14.4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Amos Walter Atchley,Amos Walter Atchley Memorial Highway,Volusia,Mobile phone,0.0,seq=5.2; last-mismatch:-4; fl-miss:-10; county-miss:-8
Charles W. Cherry,"Charles W. Cherry, Sr., Parkway",Volusia,Mary Brennan Karl,63.0,seq=3.5; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
Clyde Hart,Clyde Hart Highway,Volusia,Clyde Hart,47.0,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5
Williamm V. Chappell,"Congressman Williamm V. Chappell, Jr. Memorial Bridge",Volusia,,0.0,no-candidates
Douglas Stenstrom,Douglas Stenstrom Bridge,Volusia,Douglas Stenstrom,67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
George Musson,George Musson Memorial Bridge,Volusia,George Gund II,42.3,seq=13.3; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Harris M. Saxon,Harris M. Saxon Bridge,Volusia,"Frederic Wakeman, Sr.",28.8,seq=7.8; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
International Speedway,International Speedway Boulevard,Volusia,Mike Chitwood,63.0,seq=4.6; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
Kevin John Fischer,Kevin John Fischer Memorial Highway,Volusia,Jimbo Fisher,53.0,seq=12.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Leonard B. Knox,Leonard B. Knox Bridge,Volusia,Mary McLeod Bethune,45.2,seq=8.2; last-mismatch:-4; human:+40; fl-miss:-10; county:+8; us:+5
"Martin Luther King, Jr","Martin Luther King, Jr., Bridge",Volusia,Martin Luther King Jr.,47.0,seq=19.1; human:+40; fl-miss:-10; county-miss:-8; us:+5
POW‐MIA Rose Bay,POW‐MIA Rose Bay Bridges,Volusia,Ross Perot,27.2,seq=6.2; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Robert F. Grim,"Robert F. Grim, Sr., Memorial Parkway",Volusia,Robert Alton Harris,41.1,seq=12.1; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Trooper Darryl Haywood,Trooper Darryl Haywood Highway,Volusia,List of killings by law enforcement officers in the United States in the 20th century,0.0,seq=3.7; last-mismatch:-4; le:+15; fl-miss:-10; county-miss:-8; us:+5; nobility:-40
A.B. Martin,A.B. Martin Street,Miami‐Dade,Charles Martin (author),63.8,seq=12.8; human:+40; fl:+10; county-miss:-8; us:+5
Aleida Leal,Aleida Leal Way,Miami‐Dade,Fulgencio Batista,47.0,seq=4.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Alexandre Petion,Alexandre Petion Boulevard,Miami‐Dade,John Ashley (bandit),47.0,seq=4.4; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Ambassador Armando Valladares,Ambassador Armando Valladares Drive,Miami‐Dade,David Rivera,47.0,seq=3.9; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
American Bankers,American Bankers Drive,Miami‐Dade,Bebe Rebozo,47.0,seq=4.4; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Angel Manuel De La Portilla,Angel Manuel De La Portilla Way,Miami‐Dade,Alex Díaz de la Portilla,65.9,seq=14.9; human:+40; fl:+10; county-miss:-8; us:+5
Anne Ackerman,Anne Ackerman Boulevard,Miami‐Dade,Annie Ackerman,67.0,seq=19.3; human:+40; fl:+10; county-miss:-8; us:+5
Anthony J. Perez,Anthony J. Perez Street,Miami‐Dade,Daniel Perez (politician),57.4,seq=11.4; human:+40; fl:+10; county-miss:-8
Arnold M. Velazquez,Arnold M. Velazquez Boulevard,Miami‐Dade,Alexandria Ocasio-Cortez,27.0,seq=5.6; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Arthur Mays,Arthur Mays Boulevard,Miami‐Dade,Arthur May,47.0,seq=19.0; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Athalie Range,Athalie Range Boulevard,Miami‐Dade,M. Athalie Range,67.0,seq=17.9; human:+40; fl:+10; county-miss:-8; us:+5
Benjamin Leon,Benjamin Leon Way,Miami‐Dade,Benjamin Leon,47.0,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5
"Benjamin Leon, Jr","Benjamin Leon, Jr., Way",Miami‐Dade,Benjamin Chaires,61.1,seq=12.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Bill Seidle,Bill Seidle Boulevard,Miami‐Dade,Caroline Siedle,31.8,seq=10.8; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Billy Kemp,Billy Kemp Boulevard,Miami‐Dade,Brian Kemp,45.0,seq=14.0; human:+40; fl-miss:-10; county-miss:-8; us:+5
Bird Road State Historic,Bird Road State Historic Highway,Miami‐Dade,U.S. Route 41 in Florida,9.3,seq=8.3; last-mismatch:-4; fl:+10; county-miss:-8; us:+5
Biscayne Park,Biscayne Park Way,Miami‐Dade,Biscayne National Park,27.0,seq=14.9; fl:+10; county-miss:-8; us:+5
Bishop Victor Tyrone Curry,Bishop Victor Tyrone Curry Boulevard,Miami‐Dade,2023 in hip-hop,2.0,seq=3.9; last-mismatch:-4; fl:+10; county-miss:-8
Bob Arbetter's,Bob Arbetter's Way,Miami‐Dade,2012 United States House of Representatives elections in New York,0.0,seq=2.5; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5; nobility:-40
Calle Ocho State Historic,Calle Ocho State Historic Highway,Miami‐Dade,Little Havana,7.3,seq=6.3; last-mismatch:-4; fl:+10; county-miss:-8; us:+5
Carlos Arboleya,Carlos Arboleya Boulevard,Miami‐Dade,Orlando Bosch,47.0,seq=5.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Carlos C. Lopez‐Aguiar,Carlos C. Lopez‐Aguiar Way,Miami‐Dade,Carlos de Sigüenza y Góngora,32.0,seq=8.0; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8
Carrie P. Meek,Carrie P. Meek Boulevard,Miami‐Dade,Carrie Meek,67.0,seq=17.6; human:+40; fl:+10; county-miss:-8; us:+5
Cesar Calas,Cesar Calas Memorial Highway,Miami‐Dade,Juan Guaidó,27.0,seq=5.5; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Charles Summer,Charles Summer Boulevard,Miami‐Dade,Ray Charles,52.2,seq=11.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Coral Way State Historic,Coral Way State Historic Highway,Miami‐Dade,"Coral Gables, Florida",18.8,seq=9.8; last-mismatch:-4; fl:+10; county-miss:-8; us:+5
Crandon Boulevard State Historic,Crandon Boulevard State Historic Highway,Miami‐Dade,Bill Baggs Cape Florida State Park,8.3,seq=7.3; last-mismatch:-4; fl:+10; county-miss:-8; us:+5
Cutler Bay,Cutler Bay Boulevard,Miami‐Dade,Jay Cutler,33.0,seq=12.0; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Daniel D. Diefenbach,Daniel D. Diefenbach Bridge,Miami‐Dade,Alternative for Germany,0.0,seq=1.9; last-mismatch:-4; fl-miss:-10; county-miss:-8
"Dewey Knight, Jr","Dewey Knight, Jr., Memorial Highway",Miami‐Dade,Dewey W. Knight Jr.,42.0,seq=17.1; human:+40; fl-miss:-10; county-miss:-8
"Armando Bucelo, Sr","Dr. Armando Bucelo, Sr., Way",Miami‐Dade,,0.0,no-candidates
Jose A. Marques,Dr. Jose A. Marques Boulevard,Miami‐Dade,José Marques,42.0,seq=16.3; human:+40; fl-miss:-10; county-miss:-8
Leonard Cherdack,Dr. Leonard Cherdack Memorial Highway,Miami‐Dade,,0.0,no-candidates
Oscar Elias Biscet,Dr. Oscar Elias Biscet Boulevard,Miami‐Dade,Óscar Elías Biscet,42.0,seq=17.8; human:+40; fl-miss:-10; county-miss:-8
Vicente Grau‐Imperatori,Dr. Vicente Grau‐Imperatori Street,Miami‐Dade,Siege of Silves (1189),0.0,seq=6.3; last-mismatch:-4; fl-miss:-10; county-miss:-8; nobility:-40
Elaine Gordon,Elaine Gordon Highway,Miami‐Dade,Elaine Gordon,67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
Emilio Ochoa,Emilio Ochoa Boulevard,Miami‐Dade,Carlos Lehder,47.0,seq=3.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Ernesto Montaner,Ernesto Montaner Memorial Way,Miami‐Dade,Luis Almagro,47.0,seq=2.9; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Essie Silva,Essie Silva Way,Miami‐Dade,Sang Whang,47.0,seq=5.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Estrella Rubio,Estrella Rubio Way,Miami‐Dade,Paulina Rubio,42.9,seq=11.9; human:+40; fl-miss:-10; county-miss:-8; us:+5
Ethel Beckford,Ethel Beckford Boulevard,Miami‐Dade,Maya Angelou,27.0,seq=4.6; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Father Gerard Jean‐Juste,Father Gerard Jean‐Juste Street,Miami‐Dade,Gérard Jean-Juste,60.6,seq=14.6; human:+40; fl:+10; county-miss:-8
Felipe Valls,Felipe Valls Way,Miami‐Dade,Erik T. Pohlmeier,47.0,seq=5.5; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Frank Pasquarella,Frank Pasquarella Way,Miami‐Dade,Aniello Prisco,27.5,seq=6.5; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Frederick Douglass,Frederick Douglass Boulevard,Miami‐Dade,Frederick Douglass,47.0,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5
George Gill,George Gill Boulevard,Miami‐Dade,George W. Bush,60.2,seq=11.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Gwen Cherry,Gwen Cherry Highway,Miami‐Dade,Gwen Cherry,67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
Henri Levy,Henri Levy Boulevard,Miami‐Dade,Henri Michel-Lévy,37.3,seq=13.3; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8
Historic Biscayne,Historic Biscayne Boulevard: Gateway to Miami,Miami‐Dade,Key Biscayne,18.4,seq=12.4; fl:+10; county-miss:-8
"Honorable Robert B. Ingram, Ph.D","Honorable Robert B. Ingram, Ph.D., Boulevard",Miami‐Dade,Cesar Chavez,27.0,seq=2.7; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Hugh Anderson,Hugh Anderson Boulevard,Miami‐Dade,Hugh Durham,59.0,seq=10.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Jacob Fleishman,Jacob Fleishman Street,Miami‐Dade,Wayne Odesnik,47.0,seq=5.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
James Weldon Johnson,James Weldon Johnson Boulevard,Miami‐Dade,J. Rosamond Johnson,64.3,seq=13.3; human:+40; fl:+10; county-miss:-8; us:+5
Jean‐Jacques Dessalines,Jean‐Jacques Dessalines Boulevard,Miami‐Dade,Jean-Jacques Dessalines,42.0,seq=19.1; human:+40; fl-miss:-10; county-miss:-8
"Jefferson Reaves, Sr","Jefferson Reaves, Sr., Boulevard",Miami‐Dade,Ross Perot,27.0,seq=4.0; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Jerry Underwood,Jerry Underwood Memorial Highway,Miami‐Dade,Pat Underwood,60.3,seq=14.3; human:+40; fl:+10; county-miss:-8
Jim Mandich,Jim Mandich Memorial Highway,Miami‐Dade,Jim Mandich,47.0,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5
John F. Cosgrove,John F. Cosgrove Highway,Miami‐Dade,John F. Cosgrove,62.0,seq=20.0; human:+40; fl:+10; county-miss:-8
John H. Levi,John H. Levi Highway,Miami‐Dade,John G. Levi,47.0,seq=18.3; human:+40; fl-miss:-10; county-miss:-8; us:+5
John I. Smith,John I. Smith Boulevard,Miami‐Dade,Emmitt Smith,62.2,seq=11.2; human:+40; fl:+10; county-miss:-8; us:+5
John J. Brunettie,"John J. Brunettie, Sr., Avenue",Miami‐Dade,,0.0,no-candidates
Jorge L. Cabrera,Jorge L. Cabrera Way,Miami‐Dade,Kevin Marino Cabrera,61.0,seq=10.0; human:+40; fl:+10; county-miss:-8; us:+5
Jorge Mas Canosa,Jorge Mas Canosa Boulevard,Miami‐Dade,María Elvira Salazar,47.7,seq=6.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Judge Steve Levine,Judge Steve Levine Boulevard,Miami‐Dade,Jesse Levine,65.7,seq=14.7; human:+40; fl:+10; county-miss:-8; us:+5
Wilkie D. Ferguson,"Judge Wilkie D. Ferguson, Jr. Boulevard",Miami‐Dade,Wilkie D. Ferguson,42.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5; roman:-25
Judy Drucker,Judy Drucker Boulevard,Miami‐Dade,Marco Rubio,47.0,seq=5.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Julia Tuttle,Julia Tuttle Way,Miami‐Dade,Julia Tuttle,67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
Killian Drive State Historic,Killian Drive State Historic Highway,Miami‐Dade,United States,9.8,seq=8.8; last-mismatch:-4; fl:+10; county-miss:-8; us:+5
Lolo Villalobos,Lolo Villalobos Way,Miami‐Dade,J. Alex Villalobos,65.5,seq=14.5; human:+40; fl:+10; county-miss:-8; us:+5
Loring P. Evans,Loring P. Evans Memorial Boulevard,Miami‐Dade,Judah P. Benjamin,29.8,seq=8.8; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Lourdes P. Aguila,Lourdes P. Aguila Street,Miami‐Dade,Felipe Valdés Leal,27.9,seq=6.9; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Lt. Colonel Charles Brown,Lt. Colonel Charles Brown Memorial Highway,Miami‐Dade,Joseph Kittinger,47.0,seq=3.9; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Luis Conte Aguero,Luis Conte Aguero Way,Miami‐Dade,Jackie Silva,42.0,seq=5.5; last-mismatch:-4; human:+40; fl:+10; county-miss:-8
Maestro Luis Casas Romero,Maestro Luis Casas Romero Way,Miami‐Dade,Curro Romero,35.7,seq=9.7; human:+40; fl-miss:-10; county-miss:-8
Manny Añon,Manny Añon Memorial Boulevard,Miami‐Dade,Rue McClanahan,27.7,seq=6.7; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Manolo Reyes,Manolo Reyes Way,Miami‐Dade,Manolo Reyes,67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
Manuel Capo,Manuel Capo Boulevard,Miami‐Dade,Carlos Lehder,47.0,seq=5.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Manuel Capo,Manuel Capo Way,Miami‐Dade,Carlos Lehder,47.0,seq=5.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Marilyn Culp,Marilyn Culp Way,Miami‐Dade,Marjory Stoneman Douglas,49.9,seq=8.9; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Marjory Stoneman Douglas Sunset,Marjory Stoneman Douglas Sunset Drive,Miami‐Dade,Karamo Brown,47.0,seq=5.6; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Martha Flores,Martha Flores Way,Miami‐Dade,Janet Reno,49.7,seq=8.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Mary Ellen Miller,Mary Ellen Miller Way,Miami‐Dade,Mary A. Kingsbury,57.2,seq=8.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Maurice Rosen,Maurice Rosen Boulevard,Miami‐Dade,Jelka Rosen,57.7,seq=11.7; human:+40; fl:+10; county-miss:-8
Miami Medical Team,Miami Medical Team Way,Miami‐Dade,Miami Dade College,20.1,seq=11.1; last-mismatch:-4; fl:+10; county-miss:-8; us:+5
Milton Littman,Milton Littman Memorial Bridge,Miami‐Dade,Maimonides,24.3,seq=8.3; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8
Miss Lillie Williams,Miss Lillie Williams Boulevard,Miami‐Dade,Hank Williams,41.9,seq=10.9; human:+40; fl-miss:-10; county-miss:-8; us:+5
Mrs. Ann Carlton,Mrs. Ann Carlton Bridge,Miami‐Dade,Marjorie Merriweather Post,47.0,seq=4.8; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
MSgt. Benjamin Strickland,MSgt. Benjamin Strickland Highway,Miami‐Dade,List of accidents and incidents involving military aircraft (1945–1949),0.0,seq=4.3; last-mismatch:-4; fl-miss:-10; county-miss:-8; nobility:-40
Natan R. Rok,Natan R. Rok Boulevard,Miami‐Dade,Waffen-SS,0.0,seq=1.9; last-mismatch:-4; fl-miss:-10; county-miss:-8
Norman Giller,Norman Giller Bridge,Miami‐Dade,Bruce McGill,50.6,seq=9.6; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
North Miami Beach,North Miami Beach Boulevard,Miami‐Dade,"North Miami Beach, Florida",24.8,seq=15.8; last-mismatch:-4; fl:+10; county-miss:-8; us:+5
Ofelia Perez‐Roura,Ofelia Perez‐Roura Memorial Way,Miami‐Dade,List of Puerto Rican films,0.0,seq=7.3; last-mismatch:-4; fl-miss:-10; county-miss:-8; nobility:-40
Olga Guillot,Olga Guillot Way,Miami‐Dade,Olga Guillot,42.0,seq=20.0; human:+40; fl-miss:-10; county-miss:-8
Orange Bowl,Orange Bowl Way,Miami‐Dade,2025 Orange Bowl,22.0,seq=16.3; fl:+10; county-miss:-8
Palmetto Bay,Palmetto Bay Boulevard,Miami‐Dade,"Palmetto Bay, Florida",23.5,seq=14.5; last-mismatch:-4; fl:+10; county-miss:-8; us:+5
Phicol Williams,Phicol Williams Boulevard,Miami‐Dade,"Homestead, Florida",2.0,seq=3.6; last-mismatch:-4; fl:+10; county-miss:-8
Rafael Diaz-Balart,Rafael Diaz-Balart Way,Miami‐Dade,Rafael José Díaz-Balart,67.0,seq=16.6; human:+40; fl:+10; county-miss:-8; us:+5
Ramon Puig,Ramon Puig Way,Miami‐Dade,Ramón Puig,42.0,seq=18.0; human:+40; fl-miss:-10; county-miss:-8
Red Road State Historic,Red Road State Historic Highway,Miami‐Dade,"Miami-Dade County, Florida",8.3,seq=7.3; last-mismatch:-4; fl:+10; county-miss:-8; us:+5
Jorge Comesanas,Rev. Jorge Comesanas Way,Miami‐Dade,Jesús Permuy,47.0,seq=5.9; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
"Reverend Dr. C.P. Preston, Jr","Reverend Dr. C.P. Preston, Jr. Street",Miami‐Dade,Robert Coe (colonist),47.2,seq=6.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Reverend Samuel Atchison,Reverend Samuel Atchison Boulevard,Miami‐Dade,William R. King,42.0,seq=5.1; last-mismatch:-4; human:+40; rel:+15; fl-miss:-10; county-miss:-8; us:+5
Ricardo Karakadze,Ricardo Karakadze Street,Miami‐Dade,,0.0,no-candidates
Rick Ricciardelli,Rick Ricciardelli Bridge,Miami‐Dade,2025 Plano municipal elections,0.0,seq=5.1; last-mismatch:-4; fl-miss:-10; county-miss:-8
Robert Frost,Robert Frost Highway,Miami‐Dade,Maxwell Frost,62.2,seq=11.2; human:+40; fl:+10; county-miss:-8; us:+5
Robert L. Blum,Robert L. Blum Bridge,Miami‐Dade,Arlene Blum,42.2,seq=11.2; human:+40; fl-miss:-10; county-miss:-8; us:+5
