OBJECTID,COUNTY,COUNTY_ID,DESIGNATIO,DESCRIPTIO,HWY_NAME,BILL,DEDICATED,EFFECTIVE_,District,Local_Name,BILL_URL,CreationDa,Creator,EditDate,Editor,MemId,Shape_Leng,LOCAL_RES,GlobalID,Shape__Length,BILL_DESCRIPTION,BILL_YEAR,wikipedia_url_sam,Does_Sam_Think_is_real,dob_sam,status,match_confidence,validated,validation_notes,summary,education,dod_sam,place_of_birth,place_of_death,gender_sam,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music,Matched Name,dept_url,url,name,age,tour,badge,cause,weapon,incident_description,bio_section_raw,incident_details_raw,Clean_Name,Primary Occupation,Race,Sex,Birth Date,Death Date,Wikipedia Link,Noah_Thinks_is_Real
538,Putnam,76.0,Frank Thomas McMeekin Highway,"That portion of S.R. 20 running between the Towns of Johnson and McMeekin, Putnman County, Florida, is designated as the ""Frank Thomas McMeekin Highway.""",SR-20,SB 634,1963/05/23 05:00:00+00,1963.0,2.0,,,,,,,348.0,,0.0,f160017f-63ac-4013-8aac-ea88c7cec7eb,5401.11731680004,,,https://en.wikipedia.org/wiki/Ed_Begley_Jr.,no,1949-09-16,Found,47.0,True,seq=1.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Ed Begley Jr. is an American actor and environmental activist born on September 16, 1949. Known for his roles in films like This Is Spinal Tap and TV shows such as St. Elsewhere and Arrested Development, he has earned seven Primetime Emmy nominations. Beyond acting, Begley is a prominent advocate for sustainable living, authoring books and hosting eco-friendly TV programs. His career spans over five decades, blending entertainment with activism for environmental causes.","['Los Angeles City College', 'Associate of Arts, Theater Arts']",,"Los Angeles, California, United States",not found,male,no,no,no,no,,,,,,,,,,,,,,,,,,,,
550,Taylor,38.0,Byron Butler Parkway,"That portion of U.S. 19 within the city limits of Perry, Taylor County is designated as ""Byron Butler Parkway.""",US-19,HB 1741,1977/07/05 05:00:00+00,1977.0,2.0,Springfield Street,,,,,,360.0,,0.0,64c8674a-2a10-40c0-a25e-11e56963dc73,5902.62341734182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,Union,39.0,Correction Officers Memorial Bridge,"The New River Bridge on S.R. 16 in Bradford and Union Counties is designated as ""Correction Officers Memorial Bridge.""",,HB 385,2005/07/01 05:00:00+00,2005.0,2.0,,,,,,,364.0,,0.0,0574ee69-3b17-4ea8-b08c-955b93cc4cba,137.232197433564,,,Not Found,no,,Not Found,21.8,False,seq=9.8; last-mismatch:-4; fl:+10; county:+8,,,,,,,,,,,,,,,,,,,,,,,Correction Officers,,,,,,https://en.wikipedia.org/wiki/Correction_Officers%27_Benevolent_Association,False
564,Bay,46.0,"Lieutenant Colonel Carl John Luksic, USAF, Memorial Highway","That portion of U.S. 98/S.R. 30A/Tyndall Parkway between C.R. 2327/Transmitter Road and S.R. 22 in Bay County is designated as ""Lieutenant Colonel Carl John Luksic, USAF, Memorial Highway.""",,CS/CS/SB 820,2014/07/01 05:00:00+00,2014.0,3.0,Tyndall Parkway,,,,,,374.0,,0.0,867f8fae-7954-40d7-a602-9aeefda1fce7,4348.36695623034,That portion of Northeast Sixth Avenue between Northeast 113th and 121st Street in Miami-Dade County is designated as “Biscayne Park Way.,2010.0,https://en.wikipedia.org/wiki/Carl_J._Luksic,yes,,Found,32.8,True,seq=11.8; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Carl J. Luksic was a World War II flying ace who served in the United States Army Air Forces. He achieved notable success as a fighter pilot, shooting down multiple enemy aircraft before being captured and held as a prisoner of war. After the war, he continued his career in aviation and contributed to military and civilian aviation efforts. His legacy is marked by his bravery and skill as a combat pilot during one of history's most significant conflicts.",,,not found,not found,male,no,no,yes,no,,,,,,,,,,,,,,,,,,,,
567,Calhoun,47.0,C. D. Clark Road,"That portion of C.R. 275 that starts at the intersection of S.R. 71 and goes south until it connects with Marysville School Road in Calhoun County is designated as the ""C. D. Clark Road.""",,HB 1686,1959/06/12 05:00:00+00,1959.0,3.0,,,,,,,377.0,,0.0,f354e6f3-84e4-4fba-911b-7e600b6d6922,5835.29880352859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,Escambia,48.0,Dr. Phillip A. Payne Bridge,"The Cervantes Street Bridge on U.S. Highway 90 over Bayou Texar in the City of Pensacola in Escambia County is designated as ""Dr. Philip A. Payne Bridge.""",,HB 121,2006/07/01 05:00:00+00,2006.0,3.0,Cervantes Street,,,,,,385.0,,0.0,dcff69b0-0bae-4b69-9a9a-7cb125d82d24,194.93834068228,E. 8th Avenue and N.E. 9th Avenue in Miami-Dade County is designated as “Sergeant Carl Mertes Street.,2014.0,Not Found,no,,Not Found,11.6,False,seq=10.6; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Escambia,48.0,Perdido Key Parkway,"That portion of S.R. 292 from Blue Angel Parkway to the beginning of Perdido Key Drive in Escambia County is designated as ""Perdido Key Parkway.""",SR-292,HB 5,2010/07/01 05:00:00+00,2010.0,3.0,Sorrento Road,,,,,,391.0,,0.0,0f9abb3d-815f-47c6-ab48-dd39e72fa735,9485.44669728646,"That portion of U.S. Highway 1, also known as State Road 5, between S.",2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perdido Key,,,,,,"https://en.wikipedia.org/wiki/Perdido_Key,_Florida",True
591,Gadsden,50.0,"Alfred Lawson, Jr., Highway","That portion of U.S. Highway 90/S.R. 10/East Jefferson Street between S.R. 12/S.R. 65/Madison Street and C.R. 159 in Gadsden County is designated as ""Alfred Lawson, Jr., Highway.""",,CS/HB 7039,2012/07/01 05:00:00+00,2012.0,3.0,East Jefferson Street,,,,,,401.0,,0.0,fcfd53ff-7c95-474a-a689-9c0127316425,18266.3726485102,R. 821/Homestead Extension of the Florida Turnpike and S.W. 99th Court in Miami-Dade County is designated as “Reverend John A. Ferguson Street.,2014.0,Not Found,no,,Not Found,14.8,False,seq=13.8; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,Holmes,52.0,Curry Bridge,"The bridge on C.R. 177 crossing Wright's Creek in Holmes County, Florida is designated as the ""Curry Bridge.""",,HB 1577,1941/06/10 05:00:00+00,1941.0,3.0,,,,,,,410.0,,0.0,26146a38-6d20-48e5-823e-e4c9e62d482c,142.150800360727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curry,,,,,,https://en.wikipedia.org/wiki/Curry_(surname),False
631,Okaloosa,57.0,Brian D. Little Road,"That portion of S.R. 188 between S.R. 189 and S.R. 85 in Okaloosa County is designated as ""Brian D. Little Road.""",,HB 121,2006/07/01 05:00:00+00,2006.0,3.0,Racetrack Road,,,,,,441.0,,0.0,4da76162-e6df-4a92-b25b-f35f7fdc07ea,4821.3163460919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Okaloosa,57.0,Colonel Bud Day Boulevard,"That portion of S.R. 397 from Government Avenue to the North gate at Eglin Air Force Base in Okaloosa County is designated as ""Colonel Bud Day Boulevard.""",SR-397,HB 5,2010/07/01 05:00:00+00,2010.0,3.0,John Sims Parkway,,,,,,444.0,,0.0,c89f83cc-af53-488c-a577-a3ee1916e346,4243.22030851738,,,Not Found,no,,Not Found,23.0,False,seq=4.8; last-mismatch:-4; fl:+10; county:+8; us:+5,,,,,,,,,,,,,,,,,,,,,,,Colonel Bud Day,,,,,,https://en.wikipedia.org/wiki/Sioux_Gateway_Airport,False
636,Okaloosa,57.0,Danny Wuerffel Way,"That portion of S.R. 293 (Mid-Bay Bridge Road) from the south portion of the bridge toward U.S. Highway 98 in Destin is designated as ""Danny Wuerffel Way.""",,CS/SB 1366,1997/05/30 05:00:00+00,1997.0,3.0,Mid‐Bay Bridge Road,,,,,,446.0,,0.0,ff8efed7-1ed2-4ece-b022-df5c65c6a751,1829.14785731936,,,https://en.wikipedia.org/wiki/Danny_Wuerffel,yes,1974-05-27,Found,67.0,True,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"Danny Wuerffel is a former American football quarterback born on May 27, 1974, in Pensacola, Florida. He is best known for winning the Heisman Trophy in 1996 while playing for the University of Florida Gators, where he led the team to multiple SEC championships. Wuerffel played professionally in the NFL for teams like the New Orleans Saints and later in the Arena Football League. Beyond sports, he is recognized for his philanthropic work, founding the Desire Street Ministries to support underprivileged communities.","['Fort Walton Beach High School, Florida', ""University of Florida, Bachelor's Degree in Public Relations""]",,"Pensacola, Florida, United States",not found,male,yes,no,no,no,,,,,,,,,,,,,Danny Wuerffel,American football player,,male,1974-05-27,,https://en.wikipedia.org/wiki/Danny_Wuerffel,True
655,Wakulla,59.0,Angus Morrison Memorial Highway,"That portion of S.R. 30, extending from S.R. 61 to S.R. 363 in Wakulla County, Florida, is designated as the ""Angus Morrison Memorial Highway.""",,SB 600,1961/05/30 05:00:00+00,1961.0,3.0,,,,,,,465.0,,0.0,0a81fda0-45c1-4bbd-b3d1-5bc55c2760c0,22781.1438661959,,,https://en.wikipedia.org/wiki/Angus_Morrison_%28canoeist%29,no,,Found,47.0,True,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Angus Morrison was a Scottish canoeist known for his contributions to the sport during the early to mid-20th century. He competed in slalom canoeing and was recognized for his skill in navigating challenging river courses. Morrison played a key role in popularizing canoeing in Scotland and the broader UK, though specific details about his competitive career are limited. His legacy endures primarily through historical records of early canoeing pioneers.",,,not found,not found,male,yes,no,no,no,,,,,,,,,,,,,Angus Morrison,lawyer,,male,1822-01-20,1882-06-10,https://en.wikipedia.org/wiki/Angus_Morrison_(politician),False
657,Wakulla,59.0,Gretchen Evans Memorial Bridge,"The bridge on U.S. 98 in Wakulla County at the Wakulla River is designated as ""Gretchen Evans Memorial Bridge.""",US-98,HB 5,2010/07/01 05:00:00+00,2010.0,3.0,Coastal Highway,,,,,,467.0,,0.0,6112cab5-524d-4dd4-a125-16541d00e780,139.141575285032,,,https://en.wikipedia.org/wiki/Monique_Evans_%28Miss_Texas%29,no,,Found,61.4,True,seq=10.4; human:+40; fl:+10; county-miss:-8; us:+5,"Monique Evans is an American beauty pageant titleholder best known for winning Miss Texas USA 2007. She represented Texas in the Miss USA 2007 pageant, where she placed in the top 10. Born in the late 20th century, she gained recognition for her advocacy work and public appearances during her reign. Evans remains a notable figure in Texas pageant history for her contributions to the competition and community service efforts.",,,not found,not found,female,no,no,no,no,,,,,,,,,,,,,,,,,,,,
664,Washington,61.0,Ben G. Watts Highway,"That portion of U.S. Highway 90/S.R. 10 between Holmes County line and the Jackson County line in Washington County is designated as ""Ben G. Watts Highway.""",US-90,CS/HB 7039,2012/07/01 05:00:00+00,2012.0,3.0,,,,,,,474.0,,0.0,2730cfe4-1433-4870-8233-0b081f661a52,42971.6610604424,,,https://en.wikipedia.org/wiki/Ben_Douglas_%28American_football%29,no,1893-01-01,Found,61.2,True,seq=12.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Ben Douglas was an American football player known for his contributions to the sport during the early 20th century. Born in 1893, he played as a guard and was part of the University of Pittsburgh football team, where he earned recognition for his athletic prowess. Douglas later pursued a career in coaching and officiating, leaving a lasting impact on the development of American football. His legacy is tied to the growth of collegiate and professional football during its formative years.",['University of Pittsburgh'],,not found,not found,male,yes,no,no,no,,,,,,,,,,,,,,,,,,,,
667,Washington,61.0,Judge Perry Wells Highway,"That portion of S.R. 277 between S.R. 79 and U.S. Highway 90/S.R. 10/Jackson Avenue in Washington County is designated as ""Judge Perry Wells Highway.""",SR-277,HB 5,2010/07/01 05:00:00+00,2010.0,3.0,Roche Avenue,,,,,,477.0,,0.0,7a9d3afc-6c77-4b1f-8ee6-61a3a272b08c,26661.1470529099,,,https://en.wikipedia.org/wiki/Aileen_Cannon,no,,Found,63.0,True,seq=2.7; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5,Summary extraction failed.,,,not found,not found,not found,no,no,no,no,,,,,,,,,,,,,,,,,,,,
669,Washington,61.0,Ralph C. Carter Parkway,"That portion of State Park Road at the entrance to the Falling Waters State Recreational Area, from Joiner Road to Falling Waters Road, in Chipley, Washington County, is designated as the ""Ralph C. Carter Parkway.""",,HB 385,2005/07/01 05:00:00+00,2005.0,3.0,State Park Road,,,,,,479.0,,0.0,3b2c34e3-32a4-4258-985b-b9823ddae213,1138.5375654815,"That portion of U.S. Highway 1, also known as State Road 5, between S.",2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ralph C. Carter,politician,,male,1932-06-25,2007-09-04,https://en.wikipedia.org/wiki/Ralph_C._Carter,True
673,Broward,86.0,Ann Kolb Tree Path,"The portion of Griffin Road that is located between the Florida Turnpike on the east to 600 feet west of Flamingo Road on the west in Broward County is designated as ""Ann Kolb Tree Path.""",,SB 2394,1991/06/01 05:00:00+00,1991.0,4.0,Griffin Road,,,,,,483.0,,0.0,2fe1f3ca-fd24-4219-9584-77290c5fafca,10950.2920429517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,Broward,86.0,Dwight L. Rogers Memorial Causeway,"The bridge across the Intracoastal Waterway on S.R. A1A in Broward County, Florida, is designated as the ""Dwight L. Rogers Memorial Causeway.""",SR-A1A,SB 364,1955/05/11 05:00:00+00,1955.0,4.0,Las Olas Boulevard,,,,,,488.0,,1.0,f0f303da-8cbc-4aa8-a4aa-780cb348e247,372.887042598899,W. 215thStreet/County Line Road in Broward County is designatedas “West Park Boulevard.,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dwight L. Rogers,politician,,male,1886-08-17,1954-12-01,https://en.wikipedia.org/wiki/Dwight_L._Rogers,True
687,Broward,86.0,Trinchitella Boulevard,"That portion of S.W. 10th Street between F.A.U. Research Park Boulevard and the Sawgrass Expressway in the City of Deerfield Beach in Broward County is designated as ""Trinchitella Boulevard.""",,HB 121,2006/07/01 05:00:00+00,2006.0,4.0,S.W. 10th Street,,,,,,497.0,,0.0,db0bc632-8428-4df0-9b01-2efa8d9cb23b,5666.01818820709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,Palm Beach,93.0,Jack L. Saunders Bridge,"The bridge that spans the Intracoastal Waterway in the city of Delray Beach, Palm Beach County as part of Linton Boulevard is designated as the ""Jack L. Saunders Bridge."" Bch",,HB 653,1980/06/26 05:00:00+00,1980.0,4.0,Linton Boulevard,,,,,,523.0,,0.0,0a03e1b4-22d4-4ee1-92fe-54ddcf5f47f0,471.974370770323,E. 105th Street in Miami Shores Village in Miami-Dade County is designated as “Hugh Anderson Boulevard.,2012.0,Not Found,no,,Not Found,7.0,False,seq=0.0; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Palm Beach,93.0,Richard Jason Randolph Memorial Bridge,"The bridge on Peninsula Corp Drive over I-95 in Palm Beach County is designated as ""Richard Jason Randolph Memorial Bridge.""",,CS/SB 382,2018/07/01 05:00:00+00,2018.0,4.0,Peninsula Corp Drive,,,,,,531.0,,1.0,69efc739-a6ee-4966-a0e0-250e5e14e2e8,92.674402860691,,,https://en.wikipedia.org/wiki/Randolph_Bracy,no,1978-01-01,Found,49.9,True,seq=8.9; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Randolph Bracy is an American politician and attorney born in 1978. He has served in the Florida House of Representatives (2012–2016) and the Florida Senate (2016–2022), representing the Democratic Party. Bracy ran for Congress in 2022 but was unsuccessful in securing the nomination. Known for his advocacy on gun control and public health policies, he remains a prominent figure in Florida politics.","[""Florida Agricultural and Mechanical University (FAMU), Bachelor's Degree"", 'Florida State University College of Law, Juris Doctor (JD)']",,not found,not found,male,no,yes,no,no,,,,,,,,,,,,,,,,,,,,
724,St. Lucie,94.0,D. H. 'Banty' Saunders Bridge,"The north bridge in St. Lucie County across Indian River on S.R. A1A is designated as ""D. H. 'Banty' Saunders Bridge.""",SR-A1A,SB 256,1965/05/05 05:00:00+00,1965.0,4.0,,,,,,,534.0,,0.0,6158199f-8b1f-42ec-b887-45f79cb8b043,706.73458702497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,Flagler,73.0,Deputy Charles 'Chuck' Sease Memorial Interchange,"The interchange of I-95 and S.R. 100 at exit number 284 in Flagler County is designated as ""Deputy Charles 'Chuck' Sease Memorial Interchange.""",,HB 9,2004/05/13 05:00:00+00,2004.0,5.0,,,,,,,553.0,,0.0,24032080-b747-4e18-a918-c140fe4abaab,1169.48078333271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,Marion,36.0,Dr. John M. Haile Memorial Boulevard,"That portion of East Silver Springs Boulevard, S.R. 40, in the City of Ocala from East 11th Avenue to East 16th Avenue is designated as the ""Dr. John M. Haile Memorial Boulevard.""",,HB 385,2005/07/01 05:00:00+00,2005.0,5.0,East Silver Springs Boulevard,,,,,,572.0,,0.0,f3a8373f-a02a-4f27-a44e-0d50b8319717,980.204404631563,S.R. 948/NW 36th Street between NW South River Drive and Curtiss Parkway/NW 57th Avenue in Miami-Dade County is designated as “Miami Springs Boulevard.,2014.0,Not Found,no,,Not Found,4.7,False,seq=8.7; last-mismatch:-4; fl:+10; county-miss:-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,Marion,36.0,Kenneth H. 'Buddy' MacKay and Jim H. Williams Bridge,"The bridge on S.W. 17th Street between S.W. 12th Avenue and S. Pine Avenue in the City of Ocala in Marion County is designated as ""Kenneth H. 'Buddy' MacKay and Jim H. Williams Bridge.""",,HB 5,2010/07/01 05:00:00+00,2010.0,5.0,S.W. 17th Street,,,,,,577.0,,0.0,f82bd44a-137c-4c62-8499-53809767eff9,107.977479691575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,Marion,36.0,McCall/Custureri Highway,"That portion of S.R. 492 from U.S. Highway 301 to S.R. 40 in Ocala is designated as the ""McCall/Custureri Highway.""",,SB 1156,1996/05/07 05:00:00+00,1996.0,5.0,N.E. 14th Street,,,,,,580.0,,0.0,2fe97008-c12a-46b5-a609-95c0662cf30b,6866.66073826692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,Orange,75.0,Anelie Cadet Way,"That portion of U.S. 441/S.R. 500/Orange Blossom Trail between Lake View Drive/Lake Street and S.R. 451 in Orange County is designated as ""Anelie Cadet Way.""",,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,5.0,Orange Blossom Trail,,,,,,610.0,,0.0,cec0f205-c765-413f-9924-18c47f0581e8,2402.10873941761,,,Not Found,no,,Not Found,0.0,False,no-candidates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,Osceola,92.0,Kings Highway,"The road from Neptune Road to the edge of the waters of Lake Tohopekaliga is designated as ""Kings Highway.""",,SB 88,1949/05/04 05:00:00+00,1949.0,5.0,,,,,,,624.0,,0.0,7320bd7d-cbef-4a30-869f-a86ecab02646,4371.16649574864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kings,,,,,,"https://en.wikipedia.org/wiki/Kingston,_Jamaica",False
935,Osceola,92.0,"Officer Matthew Baxter and Sergeant Richard Sam Howard, III Boulevard","That portion of Hoagland Boulevard between Old Tampa Highway and Pershing Street in Osceola County is designated as ""Officer Matthew Baxter and Sergeant Richard Sam Howard, III Boulevard.""",,CS/SB 382,2018/07/01 05:00:00+00,2018.0,5.0,Hoagland Boulevard,,,,,,625.0,,0.0,ab8d7ffc-c882-46c3-9432-22c7eb2e7832,674.656135752271,E. 105th Street in Miami Shores Village in Miami-Dade County is designated as “Hugh Anderson Boulevard.,2012.0,,,,,,,,,,,,,,,,,,"Sergeant Richard Sam Howard, III",https://www.odmp.org/agency/2001-kissimmee-police-department-florida,https://www.odmp.org/officer/23371-sergeant-richard-samuel-howard-iii,"Sergeant Richard Samuel Howard, III",36.0,10 years,Not available,Gunfire,Handgun,"RICHARD SAMUEL HOWARD, III Sergeant Sam Howard and Police Officer Matthew Baxter were shot and killed while responding to reports of three suspicious people in the area of Palmway Street and Cypress Street at approximately 9:30 pm. They were speaking to the men when a scuffle ensued, and both officers were shot. Both were transported to Osceola Regional Medical Center, where Officer Baxter was pronounced dead. Sergeant Howard passed away the following afternoon. The subject who shot him was arrested approximately two hours after the shooting by the Osceola County Sheriff's Office members. Two handguns were found in his possession when he was arrested. In September 2019, the man was convicted of two counts of first-degree murder, and in November 2019, the jury recommended he receive the death penalty. In 2022, a judge sentenced the subject to the death penalty. Sergeant Howard was a U.S Army veteran and had served with the Kissimmee Police Department for 10 years. He is survived by his wife and one child.","BIO Age 36 Tour 10 years Badge Not available Military Veteran INCIDENT DETAILS Cause Gunfire Incident Date Friday, August 18, 2017 Weapon Handgun Offender Sentenced to death Suspicious Person Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs","INCIDENT DETAILS Cause Gunfire Incident Date Friday, August 18, 2017 Weapon Handgun Offender Sentenced to death",,,,,,,,
945,Sumter,18.0,Florida Veterans Memorial Bridge,"The bridge on I-75 at the Lake Panasoffkee area exit in Sumter County is designated as ""Florida Veterans Memorial Bridge.""",I-75,HB 9,2004/05/13 05:00:00+00,2004.0,5.0,,,,,,,635.0,,0.0,672f7f16-d971-4bbb-a9bb-103e87cd07fd,1563.68005587825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,Volusia,79.0,"Charles W. Cherry, Sr., Parkway","That portion of International Speedway Boulevard between Nova Road and Beach Street in Volusia County is designated as ""Charles W. Cherry, Sr., Parkway.""",,HB 385,2005/07/01 05:00:00+00,2005.0,5.0,International Speedway Boulevard,,,,,,639.0,,0.0,e4ff1a0e-877f-4543-83a6-b7d13b262fca,2548.2878284512,,,Not Found,no,,Not Found,18.0,False,seq=2.6; last-mismatch:-4; fl:+10; county:+8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,Volusia,79.0,David Hinson Parkway,"That portion of Nova Road in Volusia County between International Speedway Boulevard to Geroge W. Ingram Boulevard is designated as the ""David Hinson Parkway.""",,HB 385,2005/07/01 05:00:00+00,2005.0,5.0,Nova Road,,,,,,642.0,,0.0,4da50d42-3b9d-444f-b294-66dce569a5e9,1069.34513877424,"That portion of U.S. Highway 1, also known as State Road 5, between S.",2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339,Miami‐Dade,87.0,A.B. Martin Street,"That portion of N.W. 135th Street between N.W. 27th Avenue and N.W. 37th Avenue in Miami-Dade County is designated as ""A.B. Martin Street.""",,HB 121,2006/07/01 05:00:00+00,2006.0,6.0,N.W. 135th Street,,,,,,655.0,,0.0,192ea5bb-48d0-46b3-b4e9-6cd89fa58701,1827.6737253652,,,Not Found,no,,Not Found,23.8,False,seq=12.8; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,Miami‐Dade,87.0,African Caribbean Cultural Arts Corridor,"That portion of N.W. 7th Avenue between N.W. 36th Street and N.W. 79th Street in Miami-Dade County is designated as ""African Caribbean Cultural Arts Corridor.""",,HB 121,2006/07/01 05:00:00+00,2006.0,6.0,N.W. 7th Avenue,,,,,,656.0,,0.0,ed99a29f-0546-495d-b397-6584ca3caf74,4639.11862410154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1342,Miami‐Dade,87.0,Alexandre Petion Boulevard,"That portion of S.R. 909 on West Dixie Highway in Miami-Dade County, from the north boundary of State House District 108 to N.E. 2nd Avenue, is designated as ""Alexandre Petion Boulevard.""",,HB 9,2004/05/13 05:00:00+00,2004.0,6.0,West Dixie Highway,,,,,,658.0,,0.0,2f86fa64-bddf-4e1b-ad47-ace31e1c244f,2733.36103906544,,,https://en.wikipedia.org/wiki/John_Ashley_%28bandit%29,no,1895-01-01,Found,47.0,True,seq=4.4; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"John Ashley was an American outlaw and bank robber born in 1895, best known for leading the infamous Ashley Gang during the early 20th century. Active primarily in Florida, the gang gained notoriety for a series of bank heists, jailbreaks, and violent confrontations with law enforcement. Ashley's criminal career began with the murder of a man named Desoto Tiger in 1911, escalating into a decade-long spree of robberies and evasion of authorities. He was killed in a shootout with police in 1924 near Sebastian, Florida, cementing his legacy as one of the era's most elusive bandits.",,1924-11-01,not found,"Sebastian, Florida, United States",male,no,no,no,no,,,,,,,,,,,,,Alexandre Petion,politician,,male,1770-04-02,1818-03-29,https://en.wikipedia.org/wiki/Alexandre_P%C3%A9tion,True
1345,Miami‐Dade,87.0,Ambassador Armando Valladares Drive,"That portion of N. Kendall Drive between S.W. 117th Avenue and S.W. 127th Avenue in Miami-Dade County is designated as ""Ambassador Armando Valladares Drive.""",,CS/SB 138,2007/07/01 05:00:00+00,2007.0,6.0,N. Kendall Drive,,,,,,661.0,,0.0,08c13c0a-97ae-45a9-8951-68458c23cc24,1789.6245907853,,,https://en.wikipedia.org/wiki/David_Rivera,no,1965-09-16,Found,47.0,True,seq=3.9; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"David Rivera is an American politician born on September 16, 1965, in New York City, New York. He served as a member of the Florida House of Representatives from 2003 to 2010, representing the 112th district. Rivera was later elected to the U.S. House of Representatives in 2011, where he represented Florida's 25th congressional district until 2013. Known for his conservative stance, he played a role in Florida and national politics during his tenure, though his career was later marred by legal controversies.","['Florida International University, Bachelor of Arts in Political Science', 'University of Florida, Juris Doctor']",,"New York City, New York, United States",not found,male,no,yes,no,no,,,,,,,,,,,,,,,,,,,,
1348,Miami‐Dade,87.0,Angel Manuel De La Portilla Way,"That portion of S.W. 12th Avenue between Coral Way and S.W. 8th Street in Miami-Dade County is designated as ""Angel Manuel De La Portilla Way.""",,CS/SB 138,2007/07/01 05:00:00+00,2007.0,6.0,S.W. 12th Avenue,,,,,,664.0,,0.0,282001ec-38f3-4062-b2f5-047bc534c02c,1806.52317972589,,,https://en.wikipedia.org/wiki/Alex_D%C3%ADaz_de_la_Portilla,no,1965-12-27,Found,65.9,True,seq=14.9; human:+40; fl:+10; county-miss:-8; us:+5,"Alex Díaz de la Portilla is a Cuban-American politician born on December 27, 1965. He served as a member of the Florida Senate from 2010 to 2016, representing the 36th and later the 40th district. Prior to his senate tenure, he was a member of the Florida House of Representatives from 2000 to 2010. Díaz de la Portilla is known for his advocacy on issues affecting the Cuban-American community and his involvement in Florida's legislative processes.","['University of Miami, B.A. in Political Science', 'Nova Southeastern University, Juris Doctor (J.D.)']",,"Havana, Cuba",not found,male,no,yes,no,no,,,,,,,,,,,,,,,,,,,,
1349,Miami‐Dade,87.0,Angel Pio de la Portilla Way,"That portion of Coral Way between 12th Avenue and 22nd Avenue is designated as ""Angel Pio de la Portilla Way.""",,CS/SB 82,1999/06/11 05:00:00+00,1999.0,6.0,Coral Way,,,,,,665.0,,0.0,6a66b21e-d5a9-46b3-8f2f-6d4d266156ae,1770.52477891826,Northwest 77th Court in Miami Lakes is designated as “Orange Bowl Way. That portion of N.W. 77th Court in the Town of Miami Lakes in Miami-Dade County is designated as “Orange Bowl Way.,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
